"team","pp","pace"
"Coastal Carolina",0.457458742435951,2.44144104063929
"Georgia Tech",0.0131988927584477,2.44144104063929
"Tulsa",-0.225958440654758,2.44144104063929
"UNLV",-0.737490698792381,2.44144104063929
"Georgia",1.25867156548436,2.65098162071846
"Iowa",0.860083690407507,2.14264356303419
"Michigan",0.860635004021466,2.47437978687979
"Cincinnati",0.824769832014201,2.28448275862069
"Oklahoma",0.826184679862438,2.82004985754986
"Penn State",0.747706516476054,2.50434782608696
"Ohio State",0.90139660874006,2.34366666666667
"Alabama",1.06881360371279,2.52692307692308
"Michigan State",0.527368079077843,2.6586486849168
"Wake Forest",0.461381940425325,2.39596232790198
"Notre Dame",0.595640761865762,2.12678571428571
"Oklahoma State",0.532936690251575,2.35034722222222
"Kentucky",0.497006648236677,2.51584647236821
"Texas",0.699054491803807,2.1875
"Arizona State",0.480529852472338,2.77792207792208
"Liberty",0.325332112985413,2.37333333333333
"SMU",0.332996028359109,2.55810185185185
"Baylor",0.411369787109537,2.66678418803419
"Clemson",0.617086488110238,2.35851122058019
"Florida",0.663161002379632,2.42178077627853
"BYU",0.396871594979225,2.85559947299078
"Arkansas",0.514825322774519,2.52925925925926
"UT San Antonio",0.127407842413255,2.18422688422688
"Texas A&M",0.470067540856678,2.41072771672772
"Auburn",0.482316777445369,2.5
"Ole Miss",0.525890549064522,2.62337662337662
"Oregon",0.455216275126103,2.60869565217391
"NC State",0.355366652651322,2.25745489078822
"Pittsburgh",0.464220698071031,2.1565649867374
"Appalachian State",0.296312298839464,2.26923076923077
"Houston",0.251785919168303,2.20400443178221
"Air Force",0.190146666825476,2.02953897953898
"Iowa State",0.562104148948476,2.71666666666667
"Boston College",0.225502593024007,2.78804112554113
"San Diego State",0.14620931533363,2.3445
"Boise State",0.273145281419222,2.21996336996337
"Nevada",0.100120705341567,2.67508333333333
"UCLA",0.284988787073929,2.45760869565217
"Kansas State",0.304122132092348,2.74542307692308
"Tennessee",0.326548176393102,2.45205254515599
"Nebraska",0.358470864537898,2.56961279461279
"Wisconsin",0.341379684944655,2.82222222222222
"Maryland",0.119636414394431,2.37198084222541
"Utah",0.301402628459758,2.32395833333333
"Army",0.0857323700759264,2.48541666666667
"Virginia",0.204455607770398,2.22124669312169
"Louisiana",0.156781410693034,2.62376237157575
"TCU",0.308076064839099,2.60507246376812
"Mississippi State",0.262782048182377,2.38202997719127
"UAB",0.0355236505675579,2.45172973698336
"Oregon State",0.211313105184701,2.472668997669
"Rutgers",0.120344089174222,2.18888888888889
"Purdue",0.139073492916207,2.60326086956522
"Minnesota",0.171347527989504,2.85714285714286
"Wyoming",0.0497498900900873,2.38333333333333
"Western Michigan",0.0624853509223257,2.4628641688771
"Miami",0.188408371010369,2.4
"Stanford",0.158097734724448,2.27733998551574
"LSU",0.273855499511054,2.6252380952381
"North Carolina",0.282972259646907,2.59238683127572
"Indiana",0.190197095776089,2.46963562753036
"Fresno State",0.0313294628525338,1.92367195767196
"Toledo",-0.00844389125481348,1.88900862068966
"Virginia Tech",0.180942768771295,2.55890733421168
"UCF",0.0537280794975829,2.69166666666667
"West Virginia",0.131389265801498,3.33333333333333
"USC",0.20931930683916,2.41879807692308
"Texas Tech",0.117307028529034,3.33333333333333
"Louisville",0.121088369395383,2.28098688750863
"Northern Illinois",-0.190920678881465,2.49458379784467
"South Carolina",0.03485570950859,2.74441798941799
"Ball State",-0.103554457916875,2.4734806763285
"Eastern Michigan",-0.208704746863125,2.4839436026936
"Florida Atlantic",-0.0926976123083659,2.4311328813933
"Syracuse",-0.0557952781833646,2.25905257936508
"Kent State",-0.20535683679989,2.48692865105909
"Marshall",-0.141449060693781,2.00116549681402
"Utah State",-0.19056207993156,2.51399624261943
"Washington",0.134395089977964,2.47808669778497
"East Carolina",-0.124930061017504,2.38641304347826
"Missouri",-0.0952870834419847,2.78297158088825
"UTEP",-0.480863809386727,2.21264367816092
"Washington State",-0.123696657771261,2.55917077782658
"Memphis",-0.113290164349141,2.0862156907485
"Troy",-0.290583341539751,2.58374559082892
"Miami (OH)",-0.267313865518095,2.78021284271284
"Buffalo",-0.211275758899067,2.54598033545402
"Louisiana Tech",-0.233906803658714,2.33674358974359
"Florida State",-0.102220040392416,2.38133333333333
"Charlotte",-0.415944080570618,2.43194444444444
"Colorado State",-0.205619256152514,2.15784961685824
"Hawai'i",-0.320965638683922,2.22222222222222
"Illinois",-0.226837252856614,2.99705088513138
"San Jose State",-0.319932328094711,0.988383838383838
"South Alabama",-0.397863269028719,2.95282186948854
"Georgia State",-0.374835272935754,2.45390641458719
"Central Michigan",-0.39757065934557,1.91505376344086
"Duke",-0.27933991476364,2.36786781609195
"Western Kentucky",-0.241892483043025,2.62258771929825
"Middle Tennessee",-0.385668887751437,2.0998649691358
"Tulane",-0.317552503143562,2.22222222222222
"Temple",-0.514134330245085,2.53793236714976
"Northwestern",-0.191305616633369,2.28765700483092
"California",-0.291942235087734,2.48744927536232
"Colorado",-0.349624928115703,2.49583333333333
"Georgia Southern",-0.44625984402118,2.30769230769231
"Rice",-0.645732186205785,2.45875420875421
"Navy",-0.460453538858504,2.56347222222222
"South Florida",-0.470186764964515,2.17177011494253
"Texas State",-0.695664118425436,2.64884544907034
"Old Dominion",-0.698980928126662,2.81904761904762
"North Texas",-0.659368979093721,2.06124509803922
"New Mexico",-0.734171869935687,2.34626209755157
"Bowling Green",-0.735428692932117,2.33525641025641
"Louisiana Monroe",-0.80637230304535,2.54645454545455
"Akron",-0.948262013733211,2.47689436167697
"Vanderbilt",-0.643381515582103,2.1455938697318
"Kansas",-0.763645845081044,2.54353123728124
"Arkansas State",-0.717074128989746,1.98451696451696
"Florida International",-0.874403579025505,2.56773504273504
"Arizona",-0.650927286066667,2.35825892857143
"Southern Mississippi",-0.762106071628198,2.2583567087424
"Ohio",-0.717665375417028,2.47808857808858
"UMass",-1.07871005763127,2.66641414141414
"New Mexico State",-1.07651595740105,2.42355313376994
"Connecticut",-1.22129941715274,2.41044576719577
