"","team","pp","time"
"1","Connecticut",-1.13519249737759,2.12209530444729
"2","Old Dominion",-0.920645543165901,2.12209530444729
"3","New Mexico State",-1.20161440948125,2.12209530444729
"4","Alabama",1.28529866722902,2.49224074074074
"5","Oklahoma",0.857449081326535,2.34182735725282
"6","Georgia",0.936902431173847,2.67263667845564
"7","Ohio State",1.01418187171137,2.5350845410628
"8","Cincinnati",0.654308682485123,2.19259336677815
"9","Iowa State",0.595791549642111,1.87465277777778
"10","Louisiana",0.273619342159204,2.52206478605935
"11","Iowa",0.698382610549659,2.21055624483044
"12","Coastal Carolina",0.247383441531136,2.53427128427128
"13","USC",0.522911660518727,2.27042857142857
"14","UCLA",0.416330590971062,2.19951204351204
"15","Clemson",0.868601851805919,2.26240389776622
"16","Texas A&M",0.716734080566647,2.6253681314423
"17","Texas",0.651724339918143,2.20614954006294
"18","Wisconsin",0.493295251168588,2.36675724637681
"19","Nevada",0.063396759383293,2.31102197674611
"20","BYU",0.336443141625859,3.01182881446039
"21","Miami",0.400137463695577,2.07024960718294
"22","Oklahoma State",0.382589614261185,1.96676776148125
"23","Oregon",0.446352859102675,2.446875
"24","Notre Dame",0.576473082084876,2.64790094814975
"25","Penn State",0.596984231396098,1.80045167198393
"26","Ball State",-0.0139541924665882,2.42023188405797
"27","Liberty",0.102329881750013,2.69083333333333
"28","Appalachian State",0.304575509940202,2.72727272727273
"29","TCU",0.417271463346996,1.94496897546898
"30","Arizona State",0.294205182830005,1.70693507030604
"31","Indiana",0.326874834185783,2.10389784946237
"32","North Carolina",0.367331251795384,2.11998955789581
"33","Utah",0.409411919576257,2.21020511794968
"34","Toledo",-0.0101036028925693,2.30705128205128
"35","San Jose State",-0.0190349029131387,2.11749141969142
"36","UT San Antonio",-0.100636475761675,1.95322153572337
"37","Boise State",0.202054134265036,2.11731616499443
"38","Florida",0.651603054522615,2.66541582150101
"39","Auburn",0.550317563291178,1.92626771336554
"40","Army",0.148157907431151,1.91066666666667
"41","UCF",0.32985234337357,2.21567841880342
"42","Ole Miss",0.431476376940482,2.33355099007273
"43","West Virginia",0.174140445916332,1.99966188197767
"44","Wake Forest",0.168292713654735,1.86173941798942
"45","Minnesota",0.270561905194473,2.79220779220779
"46","Colorado",0.0372644561094573,1.79193548387097
"47","LSU",0.441262674578821,2.21324915824916
"48","Kansas State",0.234876254863861,1.73987038204383
"49","Buffalo",0.132228851929314,2.10546884185773
"50","Marshall",0.153237621627148,2.07028392447595
"51","UAB",0.0573874836501205,2.12458577201784
"52","Maryland",0.105094502640265,2.08820415695416
"53","Boston College",0.158135228456543,2.36525232919255
