"team","pp","week"
"SMU",0.113414115529336,2
"Central Michigan",-0.193649543108893,2
"Miami (OH)",-0.252195055546467,2
"Michigan",0.42137793138508,2
"Missouri",0.203906835325461,2
"Rutgers",0.0135488690170145,2
"Mississippi State",0.164543478028205,2
"California",-0.0707447872449094,2
"Pittsburgh",0.194735065992963,2
"Virginia",0.176051962023383,2
"Tulane",0.135466193116828,2
"Baylor",0.156377674333868,2
"San Diego State",-0.063741462386816,2
"Nebraska",0.0737866176866031,2
"Western Michigan",-0.234380608954737,2
"Memphis",0.139718959344376,2
"Georgia State",-0.288575726398934,2
"Fresno State",-0.0251733875640758,2
"Wyoming",-0.0977390475306135,2
"Florida Atlantic",-0.133374562466571,2
"Air Force",-0.0469497680716321,2
"Purdue",0.0975058256361658,2
"Virginia Tech",0.260092795493467,2
"Northwestern",0.111199086618044,2
"Tulsa",-0.0455092815723452,2
"Texas Tech",0.155475339933589,2
"Stanford",-0.0545479357196845,2
"Hawai'i",-0.281070572817206,2
"Oregon State",-0.120892425066267,2
"Arkansas",0.138107661148173,2
"Troy",-0.0179919719762356,2
"Washington State",-0.110729562197175,2
"Houston",-0.128289715464299,2
"Michigan State",0.205204709124622,2
"Eastern Michigan",-0.2733760437666,2
"Georgia Southern",-0.195783309599396,2
"Louisville",-0.00286967661071915,2
"Florida State",0.0373707311314905,2
"East Carolina",-0.285171169787426,2
"Kent State",-0.321918677041656,2
"Kentucky",0.220143370547066,2
"Illinois",-0.13002117080482,2
"Louisiana Tech",-0.287896609712833,2
"Ohio",-0.354929787059423,2
"Syracuse",-0.120754116562491,2
"Arkansas State",-0.247877839219859,2
"New Mexico",-0.541757915336603,2
"UTEP",-0.622489508218548,2
"Northern Illinois",-0.384427507374147,2
"Tennessee",0.0748993890194037,2
"Georgia Tech",-0.245339005627428,2
"Colorado State",-0.507870953628648,2
"North Texas",-0.44581426476707,2
"Rice",-0.470842007740367,2
"South Alabama",-0.387402131345323,2
"Middle Tennessee",-0.34984205712774,2
"Florida International",-0.50302821826292,2
"South Carolina",-0.0273223144495046,2
"Charlotte",-0.472045884246533,2
"Texas State",-0.51509055334277,2
"Navy",-0.450623376691402,2
"Utah State",-0.39342496549265,2
"Western Kentucky",-0.27183845989922,2
"Kansas",-0.531150549797075,2
"Arizona",-0.348741711193089,2
"South Florida",-0.564565587432188,2
"Duke",-0.398033809493996,2
"UNLV",-0.746901413723554,2
"Southern Mississippi",-0.572952341044187,2
"Akron",-0.989515662954209,2
"Temple",-0.679012240779793,2
"Vanderbilt",-0.634637525487634,2
"Bowling Green",-1.09078049146336,2
"UMass",-1.13816360167279,2
"Louisiana Monroe",-0.883380881677431,2
"Old Dominion",-0.815801346327383,3
"Connecticut",-1.20581932006593,3
"New Mexico State",-1.17200445606662,3
"Alabama",1.18334805165371,3
"Georgia",1.02099067662185,3
"Iowa",0.743775508683187,3
"Oklahoma",0.871011899780987,3
"Texas A&M",0.70415826013841,3
"Cincinnati",0.621364942552011,3
"Penn State",0.66277344168422,3
"Oregon",0.593543899711818,3
"Clemson",0.846470119649412,3
"Ohio State",0.878859345502259,3
"Coastal Carolina",0.258801502192312,3
"Wisconsin",0.530770428847033,3
"UCLA",0.39675578463489,3
"BYU",0.373595811002377,3
"Liberty",0.14994854209516,3
"Nevada",0.0872517952747478,3
"TCU",0.397784267293572,3
"North Carolina",0.453992023278584,3
"USC",0.345176267461245,3
"Notre Dame",0.502478792826818,3
"Iowa State",0.523847724428622,3
"Florida",0.642644439148039,3
"Oklahoma State",0.342377349980299,3
"Miami",0.368743795984017,3
"Louisiana",0.13611802192589,3
"Appalachian State",0.2675190313281,3
"Arizona State",0.287420551543323,3
"UT San Antonio",-0.0378070339806037,3
"Indiana",0.340077551608871,3
"Army",0.132061859102699,3
"Texas",0.458869183365361,3
"UCF",0.358824746861134,3
"Minnesota",0.205555232787145,3
"Boise State",0.259340875061559,3
"Michigan",0.502800035171437,3
"Rutgers",0.104440569802596,3
"Ole Miss",0.44474340105329,3
"San Jose State",-0.0610745787975681,3
"Kansas State",0.22687279847275,3
"Mississippi State",0.246656033944317,3
"Maryland",0.165720276166876,3
"Nebraska",0.168231742525191,3
"Auburn",0.534341335694872,3
"West Virginia",0.199354883061156,3
"Colorado",0.0957356992905902,3
"Virginia Tech",0.316847054872081,3
"Wake Forest",0.136725792707839,3
"Toledo",0.0198997178627665,3
"Virginia",0.267940598069663,3
"Arkansas",0.286794823165184,3
"Ball State",-0.0988459565098424,3
"Marshall",0.144564593966774,3
"Fresno State",0.0432206851479071,3
"Utah",0.320012139125991,3
"SMU",0.154324716779585,3
"Boston College",0.0870050166069744,3
"Pittsburgh",0.242426296007774,3
"Purdue",0.196218988947855,3
"NC State",0.174855085734635,3
"Baylor",0.185243147621589,3
"San Diego State",0.0290465152186882,3
"LSU",0.38647798902156,3
"Air Force",-0.00446296465415807,3
"Stanford",0.0984498840661374,3
"Buffalo",-0.0191526005691592,3
"Florida Atlantic",-0.0130413165270618,3
"Central Michigan",-0.172140346172208,3
"Tulane",0.138725942928805,3
"Memphis",0.136753430416837,3
"Wyoming",-0.0797311442285448,3
"Kentucky",0.265571669001263,3
"UAB",-0.0265701661070257,3
"Texas Tech",0.12087951842279,3
"Houston",-0.0150826081642612,3
"Michigan State",0.216977397184657,3
"Missouri",0.152357920379473,3
"Oregon State",-0.0512365960841986,3
"Western Michigan",-0.182138610584826,3
"Troy",-0.0668104674379653,3
"California",-0.0488500140081882,3
"Miami (OH)",-0.259006896051777,3
"Kent State",-0.2211849955923,3
"Northwestern",0.0621322397148997,3
"Washington State",-0.119254127601224,3
"Eastern Michigan",-0.321470739423213,3
"Louisville",-0.0157115098881246,3
"Georgia State",-0.403857995156969,3
"Louisiana Tech",-0.294803405519496,3
"Washington",0.106168442931691,3
"South Carolina",-0.0162850089278488,3
"Tulsa",-0.0680582699702751,3
"Hawai'i",-0.352735018468027,3
"Syracuse",-0.181828936786239,3
"Georgia Southern",-0.367394611544799,3
"South Alabama",-0.38085466078104,3
"Illinois",-0.194731291779872,3
"New Mexico",-0.557761133131044,3
"Charlotte",-0.411542025608218,3
"East Carolina",-0.320478077533402,3
"Georgia Tech",-0.213525877689358,3
"Utah State",-0.318698301958211,3
"Arkansas State",-0.270132643130206,3
"Tennessee",0.0284059930731238,3
"Florida State",-0.136674692786486,3
"Middle Tennessee",-0.354697114335165,3
"Northern Illinois",-0.412616329245927,3
"Texas State",-0.456793057274631,3
"Western Kentucky",-0.233536582502676,3
"North Texas",-0.486695175397272,3
"UTEP",-0.694870613639549,3
"Florida International",-0.554026589351836,3
"Southern Mississippi",-0.509096872272199,3
"Duke",-0.330845562965959,3
"Ohio",-0.496865732434447,3
"Rice",-0.587570162618637,3
"Kansas",-0.564902078384659,3
"Temple",-0.59650700429538,3
"Arizona",-0.469142377337339,3
"South Florida",-0.573201059755946,3
"Navy",-0.551067727457948,3
"Colorado State",-0.604726617428514,3
"UNLV",-0.761687897574092,3
"Vanderbilt",-0.617775705859754,3
"Akron",-1.09918676097952,3
"Louisiana Monroe",-0.883027884844313,3
"UMass",-1.0745467217496,3
"Bowling Green",-1.07551630880622,3
"Old Dominion",-0.8191912248673,4
"New Mexico State",-1.14407738121102,4
"Connecticut",-1.2756051049066,4
"Georgia",1.08460338868565,4
"Alabama",1.16175868056487,4
"Iowa",0.76243584735286,4
"Texas A&M",0.731940315568706,4
"Oklahoma",0.868720919071706,4
"Cincinnati",0.687348980944559,4
"Penn State",0.712739579428868,4
"Oregon",0.624698540301693,4
"Clemson",0.787607068797971,4
"Ohio State",0.863414564354755,4
"Coastal Carolina",0.28314789054012,4
"BYU",0.416747595106158,4
"Liberty",0.22527179143846,4
"Michigan",0.681649209602945,4
"Wisconsin",0.541890272068788,4
"North Carolina",0.554778950892983,4
"USC",0.465346168934492,4
"Iowa State",0.598340345009856,4
"Notre Dame",0.533693814183745,4
"Texas",0.599585012439703,4
"Ole Miss",0.617413214638092,4
"Maryland",0.229931062017817,4
"UT San Antonio",0.0433557769816507,4
"Oklahoma State",0.392057319287463,4
"Kansas State",0.341527648108854,4
"Minnesota",0.343893883426133,4
"Arkansas",0.392945452277209,4
"West Virginia",0.287885290897645,4
"TCU",0.400885149838038,4
"UCLA",0.337818435327235,4
"Fresno State",0.169211617170486,4
"Florida",0.689861065462887,4
"Rutgers",0.14915473335443,4
"Wake Forest",0.214720407936604,4
"Auburn",0.526497713292399,4
