"team","pp","pace"
"Old Dominion",-0.762261202315801,2.32419262403462
"New Mexico State",-1.1968204045782,2.32419262403462
"Connecticut",-1.14007231022679,2.32419262403462
"Georgia",1.11345287249598,2.52013580129959
"Alabama",1.1512401538029,2.51998660968661
"Oklahoma",0.798049146866497,2.72440535749045
"Iowa",0.674739945370269,2.22801438286922
"Michigan",0.708593701525065,2.6658851010101
"Notre Dame",0.665108857169202,2.16172304677281
"Arkansas",0.539513731361068,2.50570138888889
"Penn State",0.624411056036648,2.36356859526635
"Cincinnati",0.65378520665021,2.26610488025218
"Oregon",0.562876094055047,2.57633152173913
"Texas A&M",0.572753495775226,2.39228730150214
"Coastal Carolina",0.327016653296709,2.53427128427128
"Maryland",0.292484382221678,2.32242715617716
"Texas",0.707840808678173,2.44122990801259
"BYU",0.390626397213878,2.85796523588286
"Oklahoma State",0.484882549840427,2.37613133007403
"UT San Antonio",0.120518963675747,2.2337212302216
"Ohio State",0.78096277463435,2.38195024154589
"Wake Forest",0.360993464317519,2.43802553927554
"UCLA",0.397045113964438,2.35990240870241
"Michigan State",0.412677171915435,2.62502188493261
"Florida",0.701507888388984,2.39574183496487
"Boston College",0.230236212539169,2.70348336627141
"Clemson",0.649923701052818,2.37563348891285
"SMU",0.27465075664139,2.45752723368955
"Army",0.237206349774962,1.91066666666667
"Rutgers",0.232052742974391,1.98159754591111
"Baylor",0.335260528474879,2.69451449275362
"Ole Miss",0.589104628008153,2.41476214606649
"Purdue",0.241742734916247,2.53146506874768
"West Virginia",0.318603923997882,3.0665990430622
"NC State",0.349938103939718,2.18649738654203
"Auburn",0.46557634968156,1.92626771336554
"LSU",0.463303371843569,2.3573164983165
"Liberty",0.131695813704875,2.43683333333333
"Fresno State",0.130477992049495,1.86098534798535
"Appalachian State",0.247501097055065,2.36083916083916
"Boise State",0.33392484352214,2.19943392896958
"Kansas State",0.280901513980343,2.38753646957116
"Oregon State",0.184920103615503,2.34728202353202
"Arizona State",0.295372845962651,2.56372467639887
"Western Michigan",0.0717954057450382,2.26797009663389
"Kentucky",0.290156419879751,2.48553781032451
"San Diego State",0.110971763670909,2.19488571428571
"Louisiana",0.191128623034278,2.60342285447247
"UAB",0.150227624165986,2.35075719734506
"Iowa State",0.506792379850953,2.54826388888889
"Pittsburgh",0.274918240438018,2.0011006047437
"Miami",0.295871748333133,2.33404992143659
"Wisconsin",0.368259227054114,2.73112922705314
"Wyoming",0.00555108128074131,2.30301154978067
"North Carolina",0.334230716370464,2.20177568935694
"Nevada",-0.0117938506791732,2.85220439534922
"TCU",0.274612653524749,1.94496897546898
"Virginia Tech",0.203680004145048,2.43883510391916
"USC",0.253818227563289,2.3738293040293
"UCF",0.266626209026662,2.59646901709402
"Nebraska",0.190340237595828,2.4317274213709
"Houston",0.0048142726479259,2.23602614160785
"Air Force",0.0472027761451703,2.00569632981398
"Memphis",0.109287325442136,2.03226521459425
"Mississippi State",0.212854483639635,2.33875339123242
"Indiana",0.238870516069834,2.52604272778721
"Louisville",0.136758541081343,2.28084102515842
"Syracuse",-0.0335940672732701,2.26212535630633
"Stanford",0.0928401919199115,2.3599686418427
"Utah",0.235278485607371,2.3012076902566
"Washington",0.253916163632414,2.41361447556275
"Texas Tech",0.100463917891572,1.95974925727867
"Toledo",-0.0424365948275979,2.16474358974359
"Minnesota",0.105988191143678,2.84415584415584
"Buffalo",-0.0710785926265747,2.45787803673476
"Virginia",0.0863299833077994,2.16761840628507
"Marshall",0.013074630414744,1.88196664816348
"Eastern Michigan",-0.180986700275869,2.28140665918444
"Georgia Tech",0.0525071389649726,1.80867590926889
"Missouri",0.114363790696777,2.68062107489219
"San Jose State",-0.167934185457459,1.21420535464535
"Florida Atlantic",-0.125948965840697,2.4375287914652
"Tennessee",0.0594571929044287,2.49655736793258
"South Carolina",-0.00306200691005059,2.74748955461809
"Utah State",-0.243882599790315,2.27808115881033
"Central Michigan",-0.257646154609046,1.90888466639643
"Tulane",-0.0702815455139306,1.88568636408292
"Troy",-0.204507743867404,2.60955413041177
"Northwestern",0.0362610658076266,2.2277922705314
"South Alabama",-0.348188457947422,2.8381352650309
"Duke",-0.164497024094607,2.37728296867032
"Charlotte",-0.406416081961335,2.30048309178744
"Kent State",-0.268935053242553,2.56398982056591
"East Carolina",-0.25012892109993,2.24798309178744
"Louisiana Tech",-0.247345498849606,2.28366751417307
"Miami (OH)",-0.281581100286134,2.81903138528139
"Northern Illinois",-0.375741845486112,2.39390916812656
"California",-0.14833690033493,2.43249275362319
"Illinois",-0.208124919832093,2.29478062678063
"UTEP",-0.589236237737112,1.98342238981519
"Hawai'i",-0.375787286433739,2.18694444444444
"Tulsa",-0.0582736969369089,1.69379324379324
"Georgia State",-0.328001385473143,2.36036837238248
"Colorado",-0.218826411203804,2.35505376344086
"Ball State",-0.343480878504941,2.48971465378422
"Western Kentucky",-0.212879751028497,2.52840688248594
"Temple",-0.587932563675858,2.361944092763
"Washington State",-0.326455084363024,2.44115696663553
"Middle Tennessee",-0.436295300877579,2.24152020953956
"New Mexico",-0.65117596563599,2.04268446632732
"Colorado State",-0.338420053902752,1.95605081091473
"Georgia Southern",-0.470397590374858,2.27646295934642
"Bowling Green",-0.759985819753456,2.05613616268789
"South Florida",-0.461007957621313,2.11320312899106
"Louisiana Monroe",-0.678918681955715,2.30808902208902
"Rice",-0.67029110650255,2.28417210406341
"Florida State",-0.256058318272062,2.3358358974359
"Arkansas State",-0.467608945712829,1.96097968253968
"North Texas",-0.622667563890225,1.98432560696735
"Florida International",-0.71811147281149,2.57415362415362
"Southern Mississippi",-0.58601536718452,1.8831405961133
"Texas State",-0.700574120163521,2.51969841366868
"Kansas",-0.684684144816738,2.40348748473748
"Akron",-1.00727349278902,2.44658873970233
"Navy",-0.622869559436947,2.78603543689715
"Arizona",-0.582310416476048,1.83984290914846
"Vanderbilt",-0.661291668888607,2.12956744704848
"Ohio",-0.759204726305106,2.24328138238573
"UNLV",-0.814031717263584,1.17944444444444
"UMass",-1.10440160633265,2.53262974573319
