"team","pp","pace"
"Coastal Carolina",0.434229136810518,2.43957488774441
"Georgia Tech",-0.0223039804448968,2.43957488774441
"Tulane",-0.259029886356289,2.43957488774441
"Tulsa",-0.251189559153465,2.43957488774441
"UNLV",-0.760393619329612,2.43957488774441
"Georgia",1.23199024061841,2.65098162071846
"Iowa",0.841768888348027,2.23237891737892
"Alabama",1.19308259877394,2.52692307692308
"Michigan",0.834757899960763,2.52994227994228
"Oklahoma",0.81451453477313,2.82004985754986
"Cincinnati",0.786861233633815,2.28448275862069
"Penn State",0.743206060163895,2.50434782608696
"Texas",0.740978033247545,2.5
"Ohio State",0.847240983566745,2.34366666666667
"BYU",0.462865855370425,2.81949934123847
"Oklahoma State",0.524172470825007,2.35034722222222
"Arkansas",0.515660067859365,2.59388888888889
"Wake Forest",0.43255874571748,2.50917582417582
"Notre Dame",0.593128246009664,2.09368131868132
"Clemson",0.639128836967051,2.35851122058019
"UT San Antonio",0.100454688724431,2.3481351981352
"Michigan State",0.44614670138366,2.80412417248166
"SMU",0.320467675947687,2.59166666666667
"Auburn",0.513927034320329,2.5
"Kentucky",0.422458413437561,2.51584647236821
"Arizona State",0.445506770799291,2.77792207792208
"Liberty",0.261565746695027,2.37333333333333
"Oregon",0.473511787131113,2.60869565217391
"NC State",0.359700198951804,2.25745489078822
"Florida",0.660106096429766,2.42178077627853
"Maryland",0.205093455950154,2.29307590557591
"Pittsburgh",0.453122449209292,2.1565649867374
"Western Michigan",0.187607694658352,2.4628641688771
"Appalachian State",0.302015822457292,2.26923076923077
"Texas A&M",0.41705391550889,2.45785409035409
"Oregon State",0.282367137428423,2.472668997669
"Boston College",0.236390741641561,2.78804112554113
"Baylor",0.31850502766043,2.855625
"Ole Miss",0.529953435856866,2.62337662337662
"Iowa State",0.556806136206613,2.71666666666667
"UCLA",0.286683175477202,2.45760869565217
"Houston",0.200961303437012,2.20400443178221
"Kansas State",0.305390008010265,2.74542307692308
"Nebraska",0.351885425327263,2.56961279461279
"USC",0.325186068713342,2.39867521367521
"Louisiana",0.190867896792666,2.62376237157575
"Nevada",0.0863936300245326,2.67508333333333
"North Carolina",0.393264059054342,2.22191358024691
"Air Force",0.143808797637562,1.6840811965812
"Rutgers",0.14574427785655,2.18888888888889
"Purdue",0.171893069034305,2.60326086956522
"San Diego State",0.111883450686625,2.3445
"West Virginia",0.238939084595959,3.33333333333333
"Mississippi State",0.281543788940612,2.38202997719127
"Stanford",0.210082761151804,2.18735343716434
"Texas Tech",0.207000598976951,3.33333333333333
"LSU",0.372470473577298,2.39333333333333
"Army",0.0825174809264094,2.48541666666667
"Minnesota",0.201586725834205,2.85714285714286
"Wyoming",0.0522771780072582,2.38333333333333
"Virginia Tech",0.203907614115741,2.55890733421168
"Virginia",0.184236559956299,2.27565402704292
"Boise State",0.188436755125551,2.21996336996337
"Toledo",0.0199634723621624,1.88900862068966
"Fresno State",0.034022560270537,1.92367195767196
"Tennessee",0.253548192355128,2.45205254515599
"Miami",0.211539025523886,2.4
"South Carolina",0.082250320789627,2.91662698412698
"Wisconsin",0.277556317552297,2.82222222222222
"TCU",0.242079702662882,2.60144927536232
"UAB",-0.028475085678604,2.47008409375559
"Florida Atlantic",-0.0380527554598315,2.4311328813933
"Indiana",0.194516023366423,2.46963562753036
"Utah",0.22349656279796,2.32395833333333
"Louisville",0.12094699809472,2.28098688750863
"East Carolina",-0.117237454749552,2.35063405797101
"San Jose State",-0.205650201904957,0.988383838383838
"Buffalo",-0.138282189016874,2.54598033545402
"Syracuse",-0.086026605840867,2.25905257936508
"Memphis",-0.0466571401698803,2.0781741108354
"UCF",0.0562056701842627,2.69166666666667
"Washington",0.161851315131896,2.47808669778497
"Marshall",-0.10166636339254,1.83488732908536
"Miami (OH)",-0.245950007048447,2.78021284271284
"Utah State",-0.215314286202775,2.51399624261943
"Northern Illinois",-0.287147349569962,2.44441192865106
"Kent State",-0.269559808219747,2.58007246376812
"South Alabama",-0.343239821746236,2.95282186948854
"Illinois",-0.158546353377357,2.91662895927602
"Eastern Michigan",-0.265826269235618,2.48598484848485
"Hawai'i",-0.29796762463451,2.22222222222222
"Ball State",-0.226613186996594,2.50708534621578
"Missouri",-0.0881113545724102,2.78297158088825
"Troy",-0.273933734309092,2.79332745443857
"Louisiana Tech",-0.237846116145134,2.33674358974359
"UTEP",-0.572336654497328,2.04195402298851
"Charlotte",-0.462078405267329,2.43194444444444
"Duke",-0.260170811800503,2.47439846743295
"Temple",-0.478468324522818,2.60689855072464
"Middle Tennessee",-0.369926407148407,2.06875
"Washington State",-0.189524681438473,2.45083847228322
"Central Michigan",-0.388066462460182,1.91505376344086
"Georgia Southern",-0.400863148018605,2.30769230769231
"Northwestern",-0.17233727904273,2.28765700483092
"Western Kentucky",-0.262405764352426,2.62258771929825
"Florida State",-0.231688093892451,2.38133333333333
"Colorado State",-0.310875487731553,1.99198275862069
"Georgia State",-0.450630892876986,2.45390641458719
"Colorado",-0.328796038378389,2.49583333333333
"California",-0.295853391852985,2.48744927536232
"Rice",-0.628230320962204,2.45875420875421
"Bowling Green",-0.669880446131565,2.33525641025641
"South Florida",-0.479747094520811,2.17177011494253
"Navy",-0.476267654958571,2.56347222222222
"New Mexico",-0.735949936487286,2.36183403219587
"North Texas",-0.670768196306932,2.06124509803922
"Louisiana Monroe",-0.748639508575577,2.70757575757576
"Old Dominion",-0.753920814889217,2.81904761904762
"Texas State",-0.754667547174444,2.64884544907034
"Vanderbilt",-0.634369448035166,2.06896551724138
"Southern Mississippi",-0.663174352553481,2.2583567087424
"Florida International",-0.825428685327484,2.5599358974359
"Arkansas State",-0.656581797027992,1.82292929292929
"Kansas",-0.773302506799006,2.54353123728124
"Ohio",-0.689089977078985,2.4000777000777
"Arizona",-0.631611899782946,1.859375
"Akron",-1.05891378533739,2.47689436167697
"New Mexico State",-1.10244164743675,2.57706005682022
"UMass",-1.16883147609665,2.66641414141414
"Connecticut",-1.16692054734972,2.50364603174603
