Team,Rating,Offense,Defense,Special Teams
84. Syracuse (2-1),-2.2,22.9 (100),25.2 (57),0.1 (38)
85. Northwestern (1-2),-2.8,17.9 (122),20.5 (28),-0.2 (104)
86. Buffalo (1-2),-3.5,25.8 (84),29.1 (86),-0.2 (113)
87. WKU (1-1),-3.6,22.5 (105),26.0 (64),0.0 (64)
88. S. Carolina (2-1),-4.3,23.6 (95),28.1 (80),0.2 (30)
89. Georgia St. (1-2),-5.0,29.5 (59),34.5 (108),0.0 (79)
90. CMU (1-2),-5.2,25.1 (88),30.2 (89),0.0 (72)
91. Duke (2-1),-5.3,23.2 (99),28.6 (82),0.2 (28)
92. Illinois (1-3),-5.7,26.3 (78),32.2 (100),0.2 (20)
93. Air Force (2-1),-6.1,22.8 (102),28.8 (85),-0.2 (107)
94. Colorado St. (1-2),-6.1,20.2 (109),26.3 (67),0.0 (60)
95. Kent St. (1-2),-7.9,29.4 (61),36.7 (118),-0.6 (128)
96. ECU (0-2),-7.9,24.7 (91),32.6 (102),0.0 (68)
97. So. Miss (1-2),-8.7,18.4 (118),27.2 (71),0.1 (42)
98. Miami-OH (1-2),-8.8,23.6 (96),32.4 (101),0.1 (48)
99. Ohio (0-3),-9.3,26.1 (79),35.0 (110),-0.5 (125)
100. MTSU (1-2),-9.6,22.1 (106),31.5 (97),-0.2 (105)
101. Utah St. (3-0),-9.6,25.5 (85),35.4 (111),0.2 (22)
102. Hawaii (1-2),-10.1,25.9 (81),36.4 (117),0.4 (4)
103. Arizona (0-3),-10.9,24.0 (93),34.8 (109),-0.1 (102)
104. Arkansas St. (1-2),-10.9,27.5 (72),38.5 (120),0.0 (55)
105. Temple (1-2),-11.2,19.6 (111),30.6 (90),-0.2 (108)
106. EMU (2-1),-11.3,30.4 (55),41.5 (126),-0.2 (115)
107. S. Alabama (2-0),-11.4,19.2 (112),30.7 (92),0.1 (49)
108. Ball St. (1-2),-12.1,24.1 (92),36.2 (115),0.0 (59)
109. La. Tech (1-2),-12.4,23.9 (94),36.1 (114),-0.1 (94)
110. FIU (1-2),-12.4,19.0 (116),31.5 (98),0.1 (37)
111. N. Texas (1-2),-12.6,23.5 (97),36.0 (113),-0.2 (103)
112. USF (1-2),-13.0,18.3 (121),31.4 (95),0.1 (39)
113. Charlotte (2-1),-13.3,26.9 (75),40.4 (124),0.2 (27)
114. Ga. Southern (1-2),-13.5,19.1 (114),32.9 (104),0.3 (13)
115. NIU (1-2),-13.8,20.0 (110),33.8 (107),0.1 (51)
116. Texas St. (1-2),-14.8,24.9 (90),39.5 (123),-0.1 (98)
117. Vanderbilt (1-2),-15.3,18.4 (119),33.6 (106),-0.1 (84)
118. New Mexico (2-1),-15.7,20.7 (107),36.3 (116),-0.1 (87)
119. Navy (0-2),-17.2,14.4 (125),31.4 (94),-0.3 (118)
120. Kansas (1-2),-17.4,19.1 (113),36.7 (119),0.2 (24)
121. BGSU (1-2),-18.3,13.0 (126),31.5 (96),0.2 (29)
122. Rice (0-3),-19.2,12.0 (128),30.6 (91),-0.6 (130)
123. UTEP (2-1),-20.6,20.4 (108),41.2 (125),0.2 (26)
124. UNLV (0-3),-21.1,18.4 (120),39.4 (122),-0.1 (88)
125. Akron (1-2),-22.7,16.2 (123),38.9 (121),0.0 (69)
126. ODU (1-2),-23.8,11.8 (129),35.6 (112),-0.1 (85)
127. ULM (0-1),-26.6,16.1 (124),42.8 (127),0.0 (75)
128. UMass (0-3),-27.9,18.8 (117),46.1 (129),-0.6 (127)
129. NMSU (1-3),-32.0,12.8 (127),44.7 (128),0.0 (77)
130. UConn (0-4),-37.3,10.3 (130),47.2 (130),-0.4 (124)
