"team","howell"
"Georgia",1.9356
"Michigan",1.647
"Alabama",1.5667
"Cincinnati",1.5412
"Oklahoma",1.4251
"Michigan State",1.373
"Ohio State",1.373
"Wake Forest",1.3642
"UT San Antonio",1.3467
"Iowa",1.316
"Notre Dame",1.2763
"Oklahoma State",1.2096
"Ole Miss",1.1872
"San Diego State",1.1737
"Pittsburgh",1.1332
"Kentucky",1.1241
"Baylor",1.106
"Texas A&M",1.0514
"Oregon",1.0055
"Penn State",0.9963
"SMU",0.9963
"Auburn",0.9732
"Air Force",0.9593
"Iowa State",0.9314
"Arkansas",0.8612
"Virginia",0.8518
"BYU",0.8235
"Texas",0.8188
"Houston",0.8093
"Fresno State",0.7808
"Wisconsin",0.7808
"Liberty",0.7665
"Florida",0.7569
"Coastal Carolina",0.7425
"Minnesota",0.7089
"Clemson",0.6848
"NC State",0.68
"Louisiana",0.6557
"Appalachian State",0.6411
"Purdue",0.6314
"Boise State",0.6119
"Nevada",0.5677
"Arizona State",0.5628
"Utah",0.548
"Kansas State",0.543
"Northern Illinois",0.5331
"Louisville",0.5232
"Nebraska",0.5183
"UCLA",0.5183
"Western Michigan",0.4984
"Oregon State",0.4834
"Tennessee",0.4434
"LSU",0.4131
"Mississippi State",0.398
"Texas Tech",0.3369
"Army",0.3113
"Utah State",0.2907
"Toledo",0.2649
"UCF",0.2442
"UTEP",0.239
"West Virginia",0.2286
"UAB",0.2078
"Miami",0.1553
"North Carolina",0.1447
"Maryland",0.1394
"Eastern Michigan",0.1077
"Syracuse",0.1023
"Miami (OH)",0.0917
"Florida Atlantic",0.0328
"Boston College",0.022
"South Carolina",0.0058
"Rutgers",4e-04
"Ball State",-0.005
"Marshall",-0.0104
"TCU",-0.0104
"Illinois",-0.0595
"Stanford",-0.12
"Georgia Tech",-0.1255
"USC",-0.1421
"Florida State",-0.1477
"Washington State",-0.1477
"Western Kentucky",-0.1532
"Wyoming",-0.1923
"Virginia Tech",-0.2035
"Memphis",-0.2317
"Colorado State",-0.2486
"Troy",-0.3112
"Kent State",-0.3227
"East Carolina",-0.3284
"Buffalo",-0.3515
"Hawai'i",-0.3688
"Indiana",-0.3978
"Louisiana Monroe",-0.4036
"Central Michigan",-0.427
"Missouri",-0.4504
"San Jose State",-0.4563
"South Alabama",-0.474
"Northwestern",-0.474
"Middle Tennessee",-0.4858
"Tulsa",-0.4858
"Georgia State",-0.5155
"Washington",-0.5995
"Charlotte",-0.642
"Louisiana Tech",-0.7219
"Rice",-0.7717
"Tulane",-0.7905
"New Mexico",-0.8601
"Duke",-0.8793
"South Florida",-0.9567
"California",-0.9697
"Temple",-1.0024
"Navy",-1.0353
"Bowling Green",-1.2105
"Georgia Southern",-1.2867
"Colorado",-1.4287
"Old Dominion",-1.4504
"Texas State",-1.4504
"Vanderbilt",-1.6358
"Kansas",-1.6739
"North Texas",-1.7434
"Akron",-1.759
"UNLV",-1.8141
"New Mexico State",-1.822
"Arkansas State",-1.8781
"Southern Mississippi",-2.0345
"Florida International",-2.1367
"Ohio",-2.1628
"UMass",-2.2331
"Arizona",-2.4533
"Connecticut",-2.7307
