"team","howell"
"Georgia",1.9466
"Ohio State",1.6399
"Michigan",1.599
"Cincinnati",1.5853
"Notre Dame",1.535
"Oklahoma State",1.5212
"Alabama",1.5074
"Wisconsin",1.2973
"Baylor",1.2784
"UT San Antonio",1.2784
"Oklahoma",1.2546
"Ole Miss",1.1636
"Iowa",1.1588
"Michigan State",1.154
"Houston",1.1105
"Texas A&M",1.0862
"Wake Forest",1.0813
"Penn State",1.0374
"San Diego State",1.0374
"Louisiana",1.0374
"Appalachian State",1.0325
"Pittsburgh",1.003
"BYU",1.003
"Clemson",0.9882
"NC State",0.9882
"Boise State",0.9784
"Oregon",0.9536
"Utah",0.9487
"Purdue",0.9388
"Arkansas",0.8187
"Air Force",0.8035
"Kentucky",0.7883
"Fresno State",0.7273
"Mississippi State",0.7273
"Iowa State",0.7068
"Minnesota",0.7017
"SMU",0.6914
"Kansas State",0.6914
"Tennessee",0.6605
"Auburn",0.645
"Coastal Carolina",0.6035
"Louisville",0.4987
"Nevada",0.4723
"Army",0.4616
"Miami",0.4616
"UCLA",0.4457
"Utah State",0.4244
"UCF",0.403
"UAB",0.3923
"Northern Illinois",0.3923
"Liberty",0.3815
"Arizona State",0.3815
"Marshall",0.3708
"Virginia",0.3708
"East Carolina",0.3654
"Oregon State",0.36
"North Carolina",0.3438
"Western Kentucky",0.3384
"South Carolina",0.3276
"LSU",0.2678
"West Virginia",0.2294
"Texas",0.2019
"Nebraska",0.1909
"Texas Tech",0.1853
"Florida",0.1798
"Central Michigan",0.1798
"Toledo",0.1186
"Washington State",0.113
"Florida State",0.1074
"Missouri",0.0962
"Miami (OH)",0.0286
"Maryland",0.0172
"Rutgers",0.0172
"Eastern Michigan",0.0172
"Boston College",0.0115
"Illinois",0.0059
"TCU",-0.0112
"Western Michigan",-0.0112
"Georgia State",-0.0398
"Syracuse",-0.0513
"Wyoming",-0.057
"Tulsa",-0.0627
"UTEP",-0.1031
"Virginia Tech",-0.1205
"Memphis",-0.1496
"Kent State",-0.2199
"Ball State",-0.3269
"USC",-0.4298
"Troy",-0.522
"Florida Atlantic",-0.5469
"Old Dominion",-0.5531
"Middle Tennessee",-0.6031
"Washington",-0.6283
"San Jose State",-0.6473
"California",-0.6473
"North Texas",-0.6473
"Hawai'i",-0.6727
"Georgia Tech",-0.6727
"Tulane",-0.6791
"South Alabama",-0.711
"Navy",-0.7174
"Indiana",-0.7495
"Colorado State",-0.7948
"Colorado",-0.8013
"Northwestern",-0.8144
"Louisiana Tech",-0.9064
"Buffalo",-0.933
"Stanford",-0.9598
"Charlotte",-0.9732
"Louisiana Monroe",-1.0001
"South Florida",-1.0271
"UNLV",-1.1576
"Rice",-1.2487
"Bowling Green",-1.2842
"Georgia Southern",-1.3056
"Kansas",-1.3127
"Ohio",-1.3199
"Texas State",-1.3849
"Duke",-1.3849
"New Mexico",-1.4213
"Temple",-1.5548
"Arkansas State",-1.5926
"Vanderbilt",-1.6999
"Arizona",-1.7154
"Southern Mississippi",-1.7623
"Akron",-2.0376
"New Mexico State",-2.0627
"Florida International",-2.5619
"UMass",-2.5905
"Connecticut",-2.6097
