"team","howell"
"Georgia",1.9303
"Cincinnati",1.5306
"Michigan",1.5263
"Ohio State",1.5
"Alabama",1.4781
"Notre Dame",1.3852
"Oklahoma State",1.3719
"Oklahoma",1.3674
"UT San Antonio",1.3451
"Michigan State",1.3406
"Wisconsin",1.2776
"Texas A&M",1.1913
"Wake Forest",1.1638
"Iowa",1.1455
"Oregon",1.0993
"Ole Miss",1.0854
"Penn State",1.0761
"Baylor",1.0482
"BYU",1.0155
"Purdue",1.0014
"Houston",0.9873
"San Diego State",0.9873
"NC State",0.9685
"Boise State",0.9496
"Auburn",0.9354
"Iowa State",0.9069
"Pittsburgh",0.9021
"Appalachian State",0.8687
"Utah",0.8255
"Coastal Carolina",0.8207
"Clemson",0.8062
"Arkansas",0.8014
"Louisiana",0.7772
"Kansas State",0.7383
"Kentucky",0.7187
"Fresno State",0.7187
"Minnesota",0.704
"Nevada",0.6942
"Air Force",0.6746
"SMU",0.6647
"Virginia",0.6251
"Liberty",0.5903
"Mississippi State",0.5603
"Utah State",0.5553
"UCF",0.5402
"Tennessee",0.5352
"Texas",0.5352
"Miami",0.5302
"Arizona State",0.4999
"Marshall",0.4389
"Army",0.4031
"North Carolina",0.3825
"Florida",0.2944
"UCLA",0.2892
"Nebraska",0.2839
"South Carolina",0.2735
"LSU",0.263
"West Virginia",0.2577
"Northern Illinois",0.2314
"Syracuse",0.2208
"Western Kentucky",0.2208
"Louisville",0.2155
"Maryland",0.189
"Eastern Michigan",0.1837
"Texas Tech",0.1678
"Washington State",0.1678
"East Carolina",0.1678
"UAB",0.1624
"Illinois",0.1464
"Oregon State",0.1357
"Western Michigan",0.0765
"TCU",0.0385
"Rutgers",0.0057
"Boston College",-0.0052
"Memphis",-0.0052
"UTEP",-0.0162
"Ball State",-0.1047
"Toledo",-0.1159
"Virginia Tech",-0.1327
"USC",-0.1439
"Florida Atlantic",-0.1551
"Kent State",-0.172
"Miami (OH)",-0.2516
"Troy",-0.2516
"Central Michigan",-0.2802
"Florida State",-0.286
"Wyoming",-0.2975
"Georgia State",-0.3264
"Missouri",-0.338
"San Jose State",-0.4022
"Washington",-0.414
"Indiana",-0.4199
"Georgia Tech",-0.4199
"Tulsa",-0.4435
"South Alabama",-0.497
"Middle Tennessee",-0.503
"Stanford",-0.5571
"Colorado State",-0.5934
"Hawai'i",-0.5995
"Charlotte",-0.6362
"Louisiana Monroe",-0.6607
"Buffalo",-0.6792
"Navy",-0.6854
"Northwestern",-0.704
"California",-0.7164
"Tulane",-0.7917
"Colorado",-0.868
"Louisiana Tech",-0.926
"Old Dominion",-0.926
"Bowling Green",-0.926
"South Florida",-1.044
"Duke",-1.0973
"North Texas",-1.1513
"Rice",-1.1649
"Texas State",-1.199
"New Mexico",-1.2958
"UNLV",-1.3521
"Temple",-1.3592
"Georgia Southern",-1.5918
"Ohio",-1.7282
"Kansas",-1.7282
"Arizona",-1.7591
"Vanderbilt",-1.8611
"Akron",-1.877
"Arkansas State",-1.9821
"New Mexico State",-2.015
"Florida International",-2.3063
"UMass",-2.4609
"Southern Mississippi",-2.4983
"Connecticut",-2.7721
