"team","howell"
"Georgia",2.0409
"Alabama",1.8532
"Iowa",1.6247
"Oklahoma",1.5791
"Michigan",1.4407
"Penn State",1.436
"Cincinnati",1.3986
"Ohio State",1.3516
"Oklahoma State",1.3233
"Texas",1.3091
"BYU",1.2806
"Kentucky",1.2663
"Florida",1.2185
"Notre Dame",1.1848
"SMU",1.151
"Wake Forest",1.1267
"Clemson",1.1073
"Michigan State",1.0975
"Auburn",1.0926
"Appalachian State",1.0338
"Arkansas",1.0288
"Coastal Carolina",1.0239
"Oregon",0.8895
"Liberty",0.8895
"UT San Antonio",0.8795
"Pittsburgh",0.8744
"NC State",0.8593
"Louisiana",0.8137
"Boston College",0.7985
"Western Michigan",0.7934
"Baylor",0.7678
"Ole Miss",0.7113
"Air Force",0.7113
"Texas Tech",0.701
"Texas A&M",0.6959
"LSU",0.6751
"Kansas State",0.6751
"Mississippi State",0.6751
"Houston",0.644
"Iowa State",0.6074
"Army",0.5917
"Arizona State",0.5759
"Nebraska",0.5337
"Maryland",0.4805
"North Carolina",0.4805
"South Carolina",0.4805
"Tennessee",0.4752
"Virginia Tech",0.4377
"San Diego State",0.4269
"Boise State",0.4161
"West Virginia",0.4053
"Oregon State",0.3837
"Virginia",0.3783
"Memphis",0.3565
"Louisville",0.3402
"UAB",0.3347
"Stanford",0.3019
"Nevada",0.2909
"USC",0.2799
"UCLA",0.2799
"Fresno State",0.2744
"Miami",0.2578
"Minnesota",0.2468
"Rutgers",0.2468
"Florida Atlantic",0.2412
"UCF",0.2079
"Purdue",0.1182
"Wyoming",0.1068
"TCU",0.1068
"Toledo",0.0842
"Marshall",0.0728
"Indiana",0.0385
"East Carolina",-0.0305
"Utah",-0.0596
"Utah State",-0.0712
"Syracuse",-0.077
"Wisconsin",-0.0887
"Missouri",-0.0887
"San Jose State",-0.1063
"Louisiana Tech",-0.118
"Buffalo",-0.177
"Duke",-0.2848
"Troy",-0.3212
"UTEP",-0.3273
"Temple",-0.3273
"Northern Illinois",-0.3334
"Georgia Tech",-0.3395
"South Alabama",-0.3578
"Hawai'i",-0.3823
"Northwestern",-0.4131
"Miami (OH)",-0.4255
"Tulane",-0.4255
"Washington",-0.4566
"Ball State",-0.4628
"Illinois",-0.4628
"Charlotte",-0.4753
"Middle Tennessee",-0.4815
"Georgia Southern",-0.4941
"Eastern Michigan",-0.5129
"Western Kentucky",-0.5571
"Kent State",-0.666
"Tulsa",-0.7573
"Central Michigan",-0.8102
"Florida State",-0.8368
"Navy",-0.8703
"Washington State",-0.877
"Georgia State",-0.877
"South Florida",-0.877
"Rice",-1.0065
"Louisiana Monroe",-1.0481
"Bowling Green",-1.1323
"North Texas",-1.1678
"Colorado State",-1.1893
"New Mexico",-1.2759
"Arkansas State",-1.3125
"Vanderbilt",-1.3494
"Old Dominion",-1.3642
"Colorado",-1.3716
"Southern Mississippi",-1.3865
"California",-1.4541
"Texas State",-1.6474
"Florida International",-1.6632
"Kansas",-1.6871
"Ohio",-1.7838
"Arizona",-1.9754
"New Mexico State",-2.0703
"UNLV",-2.1142
"Akron",-2.1675
"UMass",-2.5732
"Connecticut",-2.8431
