"team","howell"
"Georgia",2.0274
"Michigan",1.5979
"Ohio State",1.5513
"Cincinnati",1.5186
"Notre Dame",1.5045
"Alabama",1.4763
"Oklahoma State",1.4385
"Michigan State",1.3624
"Wisconsin",1.2952
"UT San Antonio",1.2711
"Wake Forest",1.2518
"Ole Miss",1.2178
"Oklahoma",1.1934
"Baylor",1.164
"Iowa",1.1346
"Oregon",1.1296
"Houston",1.0753
"Texas A&M",1.0753
"San Diego State",1.0205
"BYU",1.0105
"Penn State",0.9604
"Pittsburgh",0.9604
"NC State",0.9402
"Boise State",0.9352
"Appalachian State",0.92
"Louisiana",0.8997
"Arkansas",0.8896
"Clemson",0.8896
"Purdue",0.8794
"Kentucky",0.859
"Auburn",0.8283
"Kansas State",0.8129
"SMU",0.8129
"Utah",0.7769
"Iowa State",0.7614
"Mississippi State",0.7355
"Fresno State",0.7251
"Air Force",0.7199
"Utah State",0.6625
"Tennessee",0.652
"Minnesota",0.5887
"Coastal Carolina",0.5834
"Liberty",0.5781
"Nevada",0.5675
"Arizona State",0.5462
"Army",0.4873
"Virginia",0.4604
"Louisville",0.455
"UAB",0.4226
"UCF",0.3845
"Miami",0.3736
"North Carolina",0.3572
"Florida",0.3407
"UCLA",0.3353
"Texas Tech",0.3133
"Western Kentucky",0.2801
"Northern Illinois",0.2801
"East Carolina",0.2746
"Texas",0.2746
"Marshall",0.269
"South Carolina",0.269
"LSU",0.2357
"Rutgers",0.219
"Nebraska",0.191
"Boston College",0.1685
"Oregon State",0.1516
"Syracuse",0.1063
"West Virginia",0.1063
"Maryland",0.1006
"Western Michigan",0.0835
"Washington State",0.0778
"Illinois",0.0378
"Virginia Tech",0.009
"Toledo",0.0033
"Missouri",-0.0199
"Central Michigan",-0.0373
"Florida State",-0.0489
"TCU",-0.0664
"Georgia State",-0.078
"Memphis",-0.0956
"Miami (OH)",-0.1191
"Eastern Michigan",-0.1544
"UTEP",-0.2019
"Ball State",-0.2138
"Tulsa",-0.2437
"USC",-0.3161
"Kent State",-0.3587
"Wyoming",-0.3954
"Florida Atlantic",-0.3954
"Troy",-0.4016
"Middle Tennessee",-0.4201
"Washington",-0.4758
"Georgia Tech",-0.5826
"San Jose State",-0.6207
"South Alabama",-0.6207
"Indiana",-0.6335
"Louisiana Tech",-0.6655
"Northwestern",-0.6913
"Stanford",-0.7042
"Old Dominion",-0.7107
"Colorado State",-0.7107
"Navy",-0.7301
"North Texas",-0.8086
"Charlotte",-0.8152
"Hawai'i",-0.8218
"South Florida",-0.8682
"Buffalo",-0.8949
"Tulane",-0.9083
"Louisiana Monroe",-0.9083
"California",-0.915
"Colorado",-0.9961
"UNLV",-1.1619
"Rice",-1.2255
"Duke",-1.2255
"Bowling Green",-1.2255
"Kansas",-1.2898
"Ohio",-1.3042
"Georgia Southern",-1.3186
"Temple",-1.3987
"New Mexico",-1.4134
"Texas State",-1.4355
"Arkansas State",-1.6161
"Arizona",-1.7012
"Vanderbilt",-1.8196
"Akron",-1.8516
"New Mexico State",-2.0911
"Southern Mississippi",-2.1595
"Florida International",-2.4259
"UMass",-2.7404
"Connecticut",-2.7503
