"team","howell"
"Georgia",2.1481
"Cincinnati",1.5482
"Michigan",1.5349
"Alabama",1.5304
"Oklahoma",1.5216
"Michigan State",1.5127
"Iowa",1.4591
"Kentucky",1.4547
"Oklahoma State",1.3871
"Penn State",1.3053
"Ohio State",1.264
"Baylor",1.2039
"Auburn",1.1807
"UT San Antonio",1.176
"Notre Dame",1.162
"Wake Forest",1.1527
"Air Force",1.1105
"Pittsburgh",1.0254
"Clemson",1.0206
"Ole Miss",1.0159
"SMU",0.9584
"Texas A&M",0.944
"NC State",0.9247
"Texas",0.9247
"Coastal Carolina",0.9054
"Florida",0.8811
"San Diego State",0.8617
"Liberty",0.7931
"Purdue",0.7783
"Oregon",0.7734
"BYU",0.7635
"Arkansas",0.7487
"Louisiana",0.7288
"Iowa State",0.7238
"Arizona State",0.7189
"Houston",0.6939
"Virginia",0.6739
"Western Michigan",0.6689
"Boise State",0.6689
"Fresno State",0.6689
"Utah",0.6488
"LSU",0.6488
"UCLA",0.6387
"UAB",0.6337
"Nevada",0.6034
"Tennessee",0.5831
"South Carolina",0.5115
"Texas Tech",0.5064
"Minnesota",0.4961
"Nebraska",0.4703
"Appalachian State",0.4547
"UTEP",0.387
"Kansas State",0.3555
"Army",0.3555
"Boston College",0.3449
"Wisconsin",0.3397
"Northern Illinois",0.3291
"Mississippi State",0.2653
"TCU",0.26
"Ball State",0.26
"Oregon State",0.2062
"Wyoming",0.1738
"North Carolina",0.1575
"Maryland",0.1521
"Louisville",0.1521
"Utah State",0.1412
"Marshall",0.0478
"West Virginia",0.02
"Rutgers",0.02
"Memphis",0.02
"UCF",0.0033
"Toledo",-0.0359
"Stanford",-0.0584
"Virginia Tech",-0.0753
"Indiana",-0.0923
"USC",-0.098
"Troy",-0.1151
"Georgia Tech",-0.1151
"Miami",-0.1207
"Washington State",-0.1264
"Syracuse",-0.1608
"Florida Atlantic",-0.1838
"Eastern Michigan",-0.1895
"South Alabama",-0.2069
"Missouri",-0.23
"Western Kentucky",-0.2533
"Miami (OH)",-0.2533
"Central Michigan",-0.3061
"Northwestern",-0.3061
"East Carolina",-0.3178
"Colorado State",-0.3178
"Tulsa",-0.401
"Charlotte",-0.407
"Kent State",-0.4552
"Buffalo",-0.5038
"Florida State",-0.5283
"Hawai'i",-0.5344
"Louisiana Tech",-0.5775
"Illinois",-0.6272
"Louisiana Monroe",-0.6523
"Temple",-0.6523
"San Jose State",-0.6585
"Georgia State",-0.6585
"Tulane",-0.6837
"Middle Tennessee",-0.6964
"Duke",-0.7728
"Washington",-0.7986
"Bowling Green",-1.1045
"Colorado",-1.132
"Georgia Southern",-1.1876
"Navy",-1.2297
"Texas State",-1.2438
"South Florida",-1.2864
"Vanderbilt",-1.315
"California",-1.3222
"Rice",-1.3582
"New Mexico",-1.4239
"Old Dominion",-1.4534
"Akron",-1.5355
"North Texas",-1.6578
"Arkansas State",-1.8078
"Kansas",-1.8644
"UNLV",-1.8726
"Florida International",-1.8971
"Southern Mississippi",-1.9467
"New Mexico State",-1.955
"Ohio",-1.9717
"UMass",-2.1516
"Connecticut",-2.4339
"Arizona",-2.4434
