"team","howell"
"Alabama",2.036
"Georgia",1.9922
"Oklahoma",1.6094
"Florida",1.5817
"Texas A&M",1.5585
"Notre Dame",1.4931
"Clemson",1.4602
"Iowa",1.4367
"Cincinnati",1.375
"Ohio State",1.3464
"Penn State",1.2015
"Auburn",1.1722
"BYU",1.1575
"UCF",1.1477
"Oklahoma State",1.0338
"Memphis",0.9987
"Oregon",0.9837
"Marshall",0.9382
"Virginia Tech",0.9382
"Appalachian State",0.9281
"Army",0.9281
"Ole Miss",0.8874
"SMU",0.8568
"Texas",0.8465
"Mississippi State",0.8311
"Kentucky",0.826
"Pittsburgh",0.8208
"Coastal Carolina",0.8208
"Liberty",0.8157
"TCU",0.8157
"LSU",0.7951
"Virginia",0.7328
"Miami",0.7275
"Boise State",0.7223
"Kansas State",0.6804
"Michigan",0.6488
"Iowa State",0.6276
"San Diego State",0.6223
"Wisconsin",0.6064
"Louisiana",0.6064
"Air Force",0.5958
"Baylor",0.5958
"Nevada",0.5958
"Boston College",0.5904
"Wake Forest",0.5851
"North Carolina",0.5851
"Arkansas",0.4504
"Tulane",0.4395
"Florida Atlantic",0.4395
"Michigan State",0.4232
"South Carolina",0.4067
"Indiana",0.3903
"Texas Tech",0.3848
"Missouri",0.3738
"NC State",0.3406
"West Virginia",0.3351
"UCLA",0.2906
"UAB",0.2458
"Northwestern",0.2458
"UT San Antonio",0.2402
"Buffalo",0.1438
"USC",0.1323
"Nebraska",0.1209
"Toledo",0.0921
"Utah",0.0806
"Tennessee",0.0806
"Troy",0.069
"Purdue",0.0517
"Louisiana Tech",0.0459
"Arizona State",0.0459
"Louisville",0.0284
"Fresno State",0.0284
"Wyoming",0.0226
"Georgia Southern",0.0226
"Maryland",0.0168
"Minnesota",-0.0066
"Rutgers",-0.0419
"Stanford",-0.0478
"Houston",-0.0478
"Western Kentucky",-0.0714
"San Jose State",-0.0714
"Arkansas State",-0.0773
"Ball State",-0.113
"South Alabama",-0.1369
"Colorado",-0.1429
"Utah State",-0.1549
"Charlotte",-0.2335
"Western Michigan",-0.307
"Tulsa",-0.3752
"Duke",-0.4065
"Middle Tennessee",-0.4569
"Syracuse",-0.4696
"Central Michigan",-0.5142
"Southern Mississippi",-0.5206
"North Texas",-0.5334
"Georgia Tech",-0.5527
"Hawai'i",-0.5915
"Florida State",-0.611
"New Mexico",-0.6568
"Kent State",-0.6634
"Washington State",-0.67
"Temple",-0.703
"Georgia State",-0.7362
"Texas State",-0.7697
"Eastern Michigan",-0.7898
"Illinois",-0.7966
"Oregon State",-0.8168
"Navy",-0.8781
"Northern Illinois",-0.8781
"Miami (OH)",-0.9056
"California",-0.9263
"Washington",-0.9402
"UTEP",-0.9402
"East Carolina",-1.0382
"Florida International",-1.0453
"Vanderbilt",-1.1963
"Kansas",-1.2182
"Old Dominion",-1.2698
"South Florida",-1.2996
"Louisiana Monroe",-1.5291
"Rice",-1.5685
"Ohio",-1.6002
"Arizona",-1.7133
"Colorado State",-2.1348
"New Mexico State",-2.2827
"UNLV",-2.2827
"UMass",-2.4269
"Akron",-2.5771
"Bowling Green",-2.608
"Connecticut",-2.608
