"team","howell"
"Georgia",2.1044
"Iowa",1.8089
"Michigan",1.708
"Oklahoma",1.5743
"Penn State",1.461
"Cincinnati",1.4519
"Alabama",1.4473
"Kentucky",1.4382
"Michigan State",1.4382
"Ohio State",1.3969
"Wake Forest",1.3692
"Notre Dame",1.2528
"SMU",1.2387
"Oklahoma State",1.1536
"Florida",1.1393
"Texas",1.1106
"Liberty",1.1106
"Coastal Carolina",1.0818
"UT San Antonio",1.0336
"Baylor",1.0094
"Clemson",0.9899
"BYU",0.9753
"Auburn",0.9558
"Arkansas",0.9362
"Air Force",0.9116
"Arizona State",0.8968
"Houston",0.8771
"Appalachian State",0.8274
"Texas A&M",0.8274
"Ole Miss",0.7874
"Boise State",0.7774
"Tennessee",0.7371
"Pittsburgh",0.7169
"Oregon",0.6763
"Boston College",0.5994
"NC State",0.584
"Nebraska",0.584
"San Diego State",0.584
"Virginia",0.5633
"UAB",0.5633
"Iowa State",0.5477
"Louisiana",0.506
"Kansas State",0.5008
"UCLA",0.4588
"Texas Tech",0.4536
"Western Michigan",0.443
"South Carolina",0.4166
"Mississippi State",0.4166
"Army",0.4166
"LSU",0.406
"Maryland",0.3953
"Nevada",0.3953
"TCU",0.374
"Rutgers",0.3634
"Louisville",0.3097
"UCF",0.3043
"Wisconsin",0.2827
"Northern Illinois",0.2611
"Utah",0.2393
"Virginia Tech",0.2393
"Fresno State",0.212
"Oregon State",0.2065
"Wyoming",0.1901
"UTEP",0.1515
"West Virginia",0.1405
"Miami",0.1405
"North Carolina",0.1183
"Toledo",0.0793
"Stanford",0.0793
"Syracuse",0.0681
"Marshall",0.0513
"Missouri",0.04
"Minnesota",0.0344
"Ball State",0.0175
"Indiana",-0.0165
"Eastern Michigan",-0.0278
"Georgia Tech",-0.0392
"Florida Atlantic",-0.0449
"Memphis",-0.0907
"USC",-0.0965
"East Carolina",-0.1195
"Purdue",-0.1253
"Utah State",-0.1543
"Charlotte",-0.2244
"Troy",-0.2539
"Kent State",-0.2598
"Louisiana Tech",-0.2954
"Florida State",-0.3372
"Hawai'i",-0.4707
"Washington State",-0.4707
"Buffalo",-0.483
"Temple",-0.4953
"Northwestern",-0.5076
"Duke",-0.5262
"Miami (OH)",-0.5262
"Western Kentucky",-0.5324
"Middle Tennessee",-0.5324
"San Jose State",-0.5885
"Washington",-0.5885
"Tulsa",-0.5885
"Tulane",-0.6011
"Georgia State",-0.62
"Central Michigan",-0.6326
"Colorado State",-0.6389
"South Alabama",-0.6389
"Illinois",-0.677
"Navy",-0.8322
"Georgia Southern",-0.9249
"South Florida",-1.0329
"Rice",-1.1713
"Old Dominion",-1.1854
"Texas State",-1.2278
"Louisiana Monroe",-1.2278
"North Texas",-1.2491
"New Mexico",-1.2562
"Bowling Green",-1.2849
"California",-1.4308
"Colorado",-1.4308
"Vanderbilt",-1.453
"Akron",-1.5281
"Arkansas State",-1.7135
"Kansas",-1.7452
"Southern Mississippi",-1.8092
"Florida International",-1.8579
"New Mexico State",-2.0075
"UNLV",-2.0244
"Ohio",-2.0329
"UMass",-2.0671
"Arizona",-2.1452
"Connecticut",-3.126
