"team","howell"
"Georgia",1.9888
"Alabama",1.9709
"Notre Dame",1.5825
"Oklahoma",1.5731
"Florida",1.4502
"Iowa",1.4454
"Ohio State",1.3155
"Oklahoma State",1.2717
"Penn State",1.2669
"Cincinnati",1.2522
"Texas",1.1784
"BYU",1.1685
"Michigan",1.1487
"Arkansas",1.1387
"Texas A&M",1.1387
"Oregon",1.1338
"SMU",1.1188
"Clemson",1.0788
"Kentucky",1.0336
"LSU",1.0134
"Army",1.0032
"Appalachian State",0.9982
"Michigan State",0.9931
"Coastal Carolina",0.9677
"Boston College",0.9575
"Wake Forest",0.9422
"Auburn",0.9422
"Baylor",0.9012
"Ole Miss",0.8496
"Boise State",0.782
"UT San Antonio",0.7715
"Louisiana",0.7505
"San Diego State",0.7505
"UAB",0.7453
"NC State",0.719
"Memphis",0.7031
"Kansas State",0.6872
"UCF",0.6766
"Virginia Tech",0.6393
"West Virginia",0.634
"Liberty",0.618
"Pittsburgh",0.5804
"Miami",0.5534
"Maryland",0.5534
"Iowa State",0.5371
"Fresno State",0.4991
"Mississippi State",0.4663
"Air Force",0.4608
"Louisville",0.4553
"UCLA",0.4498
"Western Michigan",0.4388
"Wyoming",0.3669
"Texas Tech",0.3502
"Marshall",0.3446
"North Carolina",0.3223
"Missouri",0.3167
"Purdue",0.2998
"TCU",0.2998
"Rutgers",0.2829
"Indiana",0.2717
"Houston",0.2547
"Wisconsin",0.2206
"South Carolina",0.1577
"Arizona State",0.1462
"Nebraska",0.1405
"Tennessee",0.1058
"Florida Atlantic",0.1
"Utah",0.0884
"Nevada",0.0826
"Syracuse",0.0709
"Northwestern",0.0651
"Virginia",0.0475
"Duke",0.0475
"Oregon State",0.03
"Buffalo",0.0123
"Louisiana Tech",-0.0468
"USC",-0.0468
"Toledo",-0.0468
"Utah State",-0.0646
"Tulane",-0.0885
"Troy",-0.1005
"Minnesota",-0.1065
"Stanford",-0.1065
"Georgia Tech",-0.185
"San Jose State",-0.2339
"Charlotte",-0.2584
"South Alabama",-0.2708
"Washington",-0.2831
"Eastern Michigan",-0.2893
"Tulsa",-0.3578
"East Carolina",-0.3892
"Western Kentucky",-0.4081
"Central Michigan",-0.4972
"Georgia State",-0.5944
"UTEP",-0.6337
"Georgia Southern",-0.66
"Temple",-0.6667
"Northern Illinois",-0.6865
"Hawai'i",-0.7065
"Miami (OH)",-0.7199
"Middle Tennessee",-0.8007
"Arkansas State",-0.8415
"Ball State",-0.8621
"Louisiana Monroe",-0.8758
"South Florida",-0.8758
"Kent State",-0.9381
"Illinois",-0.9801
"Florida State",-1.0294
"North Texas",-1.0365
"Colorado",-1.065
"California",-1.0722
"Southern Mississippi",-1.0793
"New Mexico",-1.0936
"Navy",-1.2025
"Colorado State",-1.2394
"Bowling Green",-1.2394
"Washington State",-1.2839
"Rice",-1.3364
"Old Dominion",-1.4202
"Texas State",-1.4898
"Florida International",-1.4976
"Kansas",-1.5289
"Vanderbilt",-1.6242
"Arizona",-1.949
"Akron",-2.0276
"Ohio",-2.0988
"New Mexico State",-2.1621
"UNLV",-2.4067
"UMass",-2.4952
"Connecticut",-2.586
