"team","tpr"
"Georgia",2.6046
"Cincinnati",2.2285
"Alabama",1.9626
"Michigan",1.8952
"Ohio State",1.6256
"Penn State",1.5163
"Pittsburgh",1.438
"Michigan State",1.4216
"Iowa",1.3588
"Florida",1.2577
"Oregon",1.2322
"Oklahoma State",1.2194
"Iowa State",1.2058
"Nebraska",1.1721
"Kentucky",1.1593
"Baylor",1.1466
"Clemson",1.1256
"Notre Dame",1.101
"Utah",1.0755
"Oklahoma",1.0664
"Arizona State",1.0027
"Ole Miss",0.9945
"Wake Forest",0.9653
"NC State",0.9617
"Auburn",0.9298
"Texas A&M",0.9098
"Coastal Carolina",0.908
"Purdue",0.9034
"Kansas State",0.8333
"Air Force",0.7996
"BYU",0.7868
"Boise State",0.7805
"Minnesota",0.7732
"Fresno State",0.7304
"Nevada",0.693
"Arkansas",0.6876
"San Diego State",0.6657
"Tennessee",0.663
"UCLA",0.591
"SMU",0.5856
"Oregon State",0.5774
"LSU",0.561
"Texas",0.5501
"Western Michigan",0.4772
"Mississippi State",0.449
"Liberty",0.4453
"Stanford",0.3852
"UT San Antonio",0.3834
"Rutgers",0.306
"Syracuse",0.2705
"Louisville",0.2687
"Utah State",0.2677
"Indiana",0.2441
"Colorado State",0.2432
"Wisconsin",0.2422
"Washington State",0.2395
"Toledo",0.1721
"Georgia Tech",0.1585
"Washington",0.1439
"Army",0.1366
"Houston",0.1166
"Western Kentucky",0.0965
"Wyoming",0.0892
"USC",0.0765
"California",0.0328
"Virginia Tech",0.0146
"Virginia",0.0118
"TCU",0.0091
"Boston College",0.0045
"Ball State",0.0018
"Louisiana Tech",-0.0592
"West Virginia",-0.0765
"Florida State",-0.0765
"South Carolina",-0.1029
"North Carolina",-0.1038
"UCF",-0.123
"Memphis",-0.1239
"Louisiana",-0.1521
"Texas Tech",-0.1585
"Tulsa",-0.2304
"Appalachian State",-0.2586
"Marshall",-0.2678
"Hawai'i",-0.2687
"Northern Illinois",-0.3115
"Miami (OH)",-0.3397
"UAB",-0.3643
"Northwestern",-0.4035
"Missouri",-0.4226
"East Carolina",-0.4626
"Miami",-0.5118
"UNLV",-0.5155
"South Alabama",-0.5492
"Bowling Green",-0.5519
"Buffalo",-0.5683
"Colorado",-0.6257
"Eastern Michigan",-0.6512
"Illinois",-0.6539
"Florida Atlantic",-0.6648
"San Jose State",-0.7431
"Maryland",-0.7504
"UTEP",-0.785
"South Florida",-0.7996
"Kent State",-0.8069
"Troy",-0.8752
"Tulane",-0.877
"Navy",-0.8889
"Middle Tennessee",-0.8952
"Texas State",-0.9271
"Central Michigan",-0.9317
"Duke",-1.0154
"Georgia State",-1.0337
"Vanderbilt",-1.0664
"Arizona",-1.0737
"Louisiana Monroe",-1.1439
"Charlotte",-1.1648
"Old Dominion",-1.3561
"New Mexico State",-1.4826
"Arkansas State",-1.5009
"Temple",-1.5154
"North Texas",-1.5154
"Kansas",-1.5282
"Connecticut",-1.6557
"Georgia Southern",-1.6693
"New Mexico",-1.6912
"Ohio",-1.7094
"Akron",-1.7641
"Florida International",-2.1921
"UMass",-2.2413
"Rice",-2.3761
"Southern Mississippi",-2.3788
