"team","tpr"
"Georgia",2.6769
"Alabama",1.9607
"Ohio State",1.8195
"Michigan",1.7035
"Cincinnati",1.6559
"Oklahoma State",1.3277
"Oregon",1.2791
"Michigan State",1.2735
"Texas A&M",1.2594
"Notre Dame",1.2351
"Utah",1.1977
"Penn State",1.1846
"Wake Forest",1.1697
"Pittsburgh",1.1005
"Iowa State",1.0949
"Oklahoma",1.05
"Wisconsin",1.0332
"Clemson",1.0304
"Baylor",1.0238
"Boise State",1.0229
"Ole Miss",1.0014
"NC State",0.9911
"Purdue",0.9004
"BYU",0.8976
"Auburn",0.8957
"UT San Antonio",0.8593
"Nebraska",0.8555
"Iowa",0.806
"Kentucky",0.7938
"Arkansas",0.7938
"Mississippi State",0.7817
"Kansas State",0.7648
"Nevada",0.7405
"Arizona State",0.7321
"Florida",0.7022
"San Diego State",0.6498
"LSU",0.6302
"Minnesota",0.6293
"Air Force",0.5722
"Houston",0.5704
"Oregon State",0.5601
"Fresno State",0.547
"SMU",0.5227
"Washington State",0.5105
"Tennessee",0.4909
"Texas",0.4385
"UCLA",0.4236
"Syracuse",0.3899
"Coastal Carolina",0.389
"Louisville",0.3796
"North Carolina",0.3777
"Liberty",0.3684
"Army",0.3656
"Appalachian State",0.3469
"Utah State",0.3245
"Virginia",0.2609
"Miami",0.259
"California",0.2525
"West Virginia",0.245
"Western Kentucky",0.2431
"Marshall",0.2263
"UCF",0.1982
"Washington",0.1534
"Toledo",0.1375
"USC",0.1272
"Memphis",0.0991
"Illinois",0.0982
"Florida State",0.0926
"South Carolina",0.0767
"Virginia Tech",0.0757
"Tulsa",0.0655
"Stanford",0.0103
"Georgia Tech",0.0084
"Rutgers",0.0047
"Louisiana",-0.0028
"East Carolina",-0.0084
"TCU",-0.0149
"Colorado State",-0.0224
"Texas Tech",-0.0776
"Western Michigan",-0.1028
"Boston College",-0.143
"Wyoming",-0.1954
"Indiana",-0.2814
"Ball State",-0.3151
"Eastern Michigan",-0.3263
"Miami (OH)",-0.36
"Navy",-0.374
"Hawai'i",-0.3964
"Louisiana Tech",-0.4076
"Colorado",-0.4217
"San Jose State",-0.4282
"Northern Illinois",-0.4572
"UAB",-0.503
"Maryland",-0.5105
"Missouri",-0.5301
"Northwestern",-0.5881
"Central Michigan",-0.6358
"Troy",-0.7031
"Arizona",-0.7106
"Middle Tennessee",-0.7171
"UNLV",-0.7171
"Tulane",-0.7302
"South Alabama",-0.8031
"South Florida",-0.8293
"Georgia State",-0.8574
"Florida Atlantic",-0.8611
"Bowling Green",-0.9181
"Kent State",-0.978
"Buffalo",-1.0098
"UTEP",-1.0163
"Old Dominion",-1.1117
"Louisiana Monroe",-1.2454
"Texas State",-1.2912
"Duke",-1.3473
"New Mexico",-1.3753
"Arkansas State",-1.3791
"Charlotte",-1.3987
"North Texas",-1.409
"Vanderbilt",-1.4623
"New Mexico State",-1.5249
"Ohio",-1.5913
"Kansas",-1.6035
"Georgia Southern",-1.6325
"Rice",-1.7933
"Temple",-1.9793
"Akron",-1.9971
"Connecticut",-2.0682
"Florida International",-2.229
"Southern Mississippi",-2.5843
"UMass",-2.7582
