"team","tpr"
"Ole Miss",2.6343
"Michigan",2.5653
"Georgia",2.1359
"Rutgers",2.123
"Alabama",1.6504
"Iowa",1.5883
"Cincinnati",1.455
"Oregon",1.433
"Wake Forest",1.3035
"Florida",1.2906
"Clemson",1.2308
"Arkansas",1.1808
"Louisville",1.1694
"Washington",1.0695
"Fresno State",1.0657
"Syracuse",1.0164
"UCLA",1.0028
"SMU",0.9983
"Oklahoma State",0.9801
"NC State",0.9619
"Ohio State",0.9559
"Michigan State",0.9453
"UCF",0.9089
"Kansas State",0.8839
"Iowa State",0.8521
"Mississippi State",0.8309
"Boise State",0.8294
"Notre Dame",0.7998
"Liberty",0.7892
"Georgia Tech",0.787
"Colorado State",0.7786
"LSU",0.7271
"Oklahoma",0.718
"Nebraska",0.7173
"Baylor",0.6961
"UT San Antonio",0.6855
"Maryland",0.6756
"Louisiana Tech",0.5953
"West Virginia",0.5862
"BYU",0.5446
"Memphis",0.5166
"Army",0.4832
"Penn State",0.4545
"Texas A&M",0.4393
"Western Michigan",0.4325
"Virginia Tech",0.4136
"Kentucky",0.4113
"Arizona State",0.4037
"San Diego State",0.4007
"Texas",0.3977
"Pittsburgh",0.3696
"Utah",0.3196
"Western Kentucky",0.3136
"Purdue",0.2795
"Toledo",0.2719
"TCU",0.231
"UAB",0.2174
"California",0.2038
"Oregon State",0.2022
"Wyoming",0.1659
"Indiana",0.1636
"North Carolina",0.1538
"Boston College",0.1515
"Tulsa",0.1394
"Stanford",0.1371
"Coastal Carolina",0.1257
"Nevada",0.0568
"Florida State",0.0508
"South Carolina",0.0296
"Tulane",-0.0288
"Northern Illinois",-0.0394
"Auburn",-0.0916
"Tennessee",-0.0969
"Virginia",-0.1174
"Missouri",-0.1212
"Illinois",-0.1855
"Air Force",-0.1939
"Duke",-0.2219
"Minnesota",-0.2901
"Northwestern",-0.3219
"Arkansas State",-0.3666
"Appalachian State",-0.3681
"Utah State",-0.3984
"Wisconsin",-0.4219
"Vanderbilt",-0.4325
"UNLV",-0.4446
"Middle Tennessee",-0.4847
"Florida Atlantic",-0.4946
"Kent State",-0.5006
"USC",-0.5037
"Troy",-0.5226
"North Texas",-0.5317
"Arizona",-0.5324
"Marshall",-0.5688
"Charlotte",-0.5764
"South Florida",-0.5809
"South Alabama",-0.5998
"Miami (OH)",-0.6233
"Buffalo",-0.637
"Miami",-0.6498
"Louisiana",-0.7422
"Bowling Green",-0.7544
"East Carolina",-0.765
"Eastern Michigan",-0.7725
"Colorado",-0.7968
"Washington State",-0.8983
"Texas Tech",-0.9301
"Hawai'i",-0.952
"Old Dominion",-0.9778
"Texas State",-0.9861
"Louisiana Monroe",-1.0088
"Central Michigan",-1.0611
"San Jose State",-1.1149
"Ball State",-1.1376
"Georgia State",-1.1671
"Houston",-1.2164
"Connecticut",-1.2353
"Kansas",-1.2368
"Rice",-1.3451
"Temple",-1.4807
"New Mexico State",-1.5375
"Ohio",-1.6579
"Georgia Southern",-1.6716
"Florida International",-1.7935
"New Mexico",-1.8677
"Southern Mississippi",-1.87
"UTEP",-1.9579
"UMass",-2.1093
"Navy",-2.204
"Akron",-2.9023
