"team","tpr"
"Georgia",2.647
"Michigan",1.929
"Cincinnati",1.7932
"Alabama",1.7556
"Iowa",1.6523
"Michigan State",1.5779
"Ohio State",1.5113
"Penn State",1.4684
"Florida",1.4448
"Nebraska",1.3931
"Clemson",1.3546
"Pittsburgh",1.3371
"Arizona State",1.2224
"Oregon",1.2162
"Oklahoma",1.2031
"Oklahoma State",1.1541
"Kentucky",1.1217
"Kansas State",1.1033
"NC State",1.0262
"Arkansas",0.9299
"Iowa State",0.9273
"Wake Forest",0.9264
"Liberty",0.8966
"SMU",0.8888
"Ole Miss",0.887
"BYU",0.88
"Boise State",0.8721
"Mississippi State",0.8511
"Tennessee",0.8345
"Texas A&M",0.8345
"Baylor",0.8318
"Notre Dame",0.7968
"Coastal Carolina",0.7697
"Boston College",0.7679
"Utah",0.6725
"Texas",0.6427
"Nevada",0.6305
"Air Force",0.6217
"Auburn",0.6208
"San Diego State",0.5998
"Rutgers",0.5832
"Fresno State",0.479
"Louisiana Tech",0.4641
"UCLA",0.4387
"Stanford",0.4177
"Western Michigan",0.3616
"Wyoming",0.3529
"Appalachian State",0.3354
"Georgia Tech",0.3328
"UT San Antonio",0.3328
"Colorado State",0.3301
"Oregon State",0.3126
"Syracuse",0.3039
"Houston",0.3012
"LSU",0.268
"Louisville",0.268
"Washington",0.2216
"UCF",0.2128
"TCU",0.2093
"Toledo",0.1795
"Virginia Tech",0.1778
"Wisconsin",0.1296
"South Carolina",0.1226
"Utah State",0.113
"Minnesota",0.0911
"Western Kentucky",0.0508
"Army",0.0447
"West Virginia",0.0421
"Marshall",0.0184
"Indiana",0
"Memphis",-0.0096
"Missouri",-0.0315
"Ball State",-0.0403
"Purdue",-0.0525
"North Carolina",-0.0613
"Washington State",-0.0726
"USC",-0.0928
"Florida State",-0.1147
"East Carolina",-0.1637
"Texas Tech",-0.1803
"Tulsa",-0.1803
"Virginia",-0.1812
"UAB",-0.2014
"Northern Illinois",-0.2565
"California",-0.2714
"Hawai'i",-0.3712
"Miami",-0.3992
"Buffalo",-0.4229
"UNLV",-0.5175
"Navy",-0.5411
"Florida Atlantic",-0.5437
"Kent State",-0.5612
"Maryland",-0.6287
"Tulane",-0.6409
"South Florida",-0.6453
"Miami (OH)",-0.6733
"Eastern Michigan",-0.6864
"Middle Tennessee",-0.6908
"Troy",-0.7066
"Duke",-0.7617
"Louisiana",-0.7644
"Northwestern",-0.7819
"Colorado",-0.7854
"Arizona",-0.8038
"North Texas",-0.8563
"Bowling Green",-0.9018
"San Jose State",-0.9693
"South Alabama",-0.9885
"Illinois",-0.9964
"Old Dominion",-1.07
"Texas State",-1.0945
"Charlotte",-1.1146
"Vanderbilt",-1.1295
"Georgia State",-1.1829
"Central Michigan",-1.3265
"Temple",-1.3388
"Arkansas State",-1.3484
"Georgia Southern",-1.5095
"New Mexico State",-1.5191
"Connecticut",-1.5533
"UTEP",-1.5752
"Kansas",-1.6951
"New Mexico",-1.6995
"Louisiana Monroe",-1.7337
"UMass",-1.8729
"Rice",-1.9026
"Akron",-2.0839
"Ohio",-2.2047
"Southern Mississippi",-2.2923
"Florida International",-2.2932
