"team","tpr"
"Ohio State",2.91448607033875
"Alabama",2.79369885868468
"Clemson",2.01310123234885
"Oklahoma",1.7764568993123
"Iowa",1.70990068064577
"Florida",1.59075683241557
"Georgia",1.57596656160078
"LSU",1.4699696207615
"Iowa State",1.41245190092623
"Penn State",1.39683994839951
"Wisconsin",1.38780144956825
"Notre Dame",1.3130284137824
"Indiana",1.30645496008694
"Texas A&M",1.25879742079486
"Texas",1.25304564881133
"Auburn",1.1889544752806
"Cincinnati",1.08953098813677
"Oregon",1.04516017569242
"Michigan",1.01722299748672
"Oklahoma State",1.00243272667193
"Northwestern",0.967100413058837
"Utah",0.90465260295197
"BYU",0.86767692591501
"Louisiana",0.840561429421239
"Minnesota",0.838918065997374
"TCU",0.806872479232009
"USC",0.802764070672346
"Washington",0.732921125158088
"Ole Miss",0.722239262902966
"Baylor",0.705805628664317
"Appalachian State",0.669651633339289
"North Carolina",0.641714455133586
"UCF",0.640892773421653
"Nebraska",0.603917096384693
"Kansas State",0.520105561767583
"Purdue",0.513532108072123
"Arizona State",0.467517932203906
"West Virginia",0.464231205356176
"Kentucky",0.449440934541392
"Missouri",0.433007300302743
"Coastal Carolina",0.408356848944769
"Mississippi State",0.402605076961242
"Miami",0.390279851282255
"Boise State",0.362342673076552
"UCLA",0.327832041175389
"Air Force",0.305646634953213
"Tulsa",0.291678045850361
"Michigan State",0.284282910442969
"Tennessee",0.281817865307171
"Memphis",0.268670957916252
"Virginia",0.176642606179818
"Texas Tech",0.173355879332088
"San Diego State",0.160208971941168
"California",0.156100563381506
"Buffalo",0.153635518245709
"Virginia Tech",0.147883746262182
"San Jose State",0.118303204632613
"SMU",0.116659841208748
"Stanford",0.114194796072951
"Wake Forest",0.0870792995791802
"Ball State",0.081327527595653
"Louisville",0.0747540739001934
"Pittsburgh",0.0632505299331391
"Oregon State",0.0607854847973417
"Illinois",0.0492819408302874
"Arkansas",0.0484602591183549
"South Carolina",0.0238098077603814
"Tulane",0.0180580357768542
"Washington State",-0.0000189618856597558
"Boston College",-0.0460331377538771
"Liberty",-0.0600017268567288
"Colorado",-0.0624667719925261
"Georgia Southern",-0.0756136793834454
"Florida Atlantic",-0.0772570428073103
"Rutgers",-0.0895822684862971
"Wyoming",-0.0961557221817567
"Army",-0.111767674708473
"Marshall",-0.141348216338042
"Maryland",-0.155316805440893
"Hawai'i",-0.236663294922206
"NC State",-0.262957109704045
"Nevada",-0.269530563399504
"Houston",-0.273638971959166
"UAB",-0.284320834214288
"Navy",-0.311436330708059
"Georgia State",-0.33197837350637
"Ohio",-0.359915551712074
"Western Michigan",-0.377170867662655
"Fresno State",-0.394426183613237
"Florida State",-0.440440359481454
"Troy",-0.477416036518415
"Arkansas State",-0.486454535349672
"Central Michigan",-0.492206307333199
"Toledo",-0.496314715892861
"Miami (OH)",-0.570266069966782
"Eastern Michigan",-0.631070516649783
"Western Kentucky",-0.701735143875974
"Rice",-0.72392055009815
"Syracuse",-0.740354184336799
"Arizona",-0.742819229472597
"East Carolina",-0.760074545423178
"Duke",-0.76418295398284
"UT San Antonio",-0.788011723628882
"Louisiana Tech",-0.803623676155598
"Georgia Tech",-0.803623676155598
"Vanderbilt",-0.834025899497099
"Temple",-0.874288303381789
"Kent State",-0.890721937620438
"Kansas",-0.89811707302783
"Colorado State",-0.91126398041875
"Southern Mississippi",-0.912085662130682
"South Florida",-0.932627704928993
"South Alabama",-0.987680379628468
"Charlotte",-1.00411401386712
"Texas State",-1.01233083098644
"Northern Illinois",-1.05012818973533
"New Mexico",-1.08135209478877
"Utah State",-1.09203395704389
"Florida International",-1.17173708310134
"Middle Tennessee",-1.21857294068149
"North Texas",-1.29088093133154
"UNLV",-1.34757696945488
"Louisiana Monroe",-1.54724562545447
"Old Dominion",-1.67378460909207
"New Mexico State",-1.71158196784096
"UTEP",-1.96876834367582
"Connecticut",-2.02299933666336
"Akron",-2.70663852099116
"Bowling Green",-2.83399918634069
"UMass",-2.84221600346001
