"team","tpr"
"Georgia",2.7639
"Alabama",2.067
"Ohio State",1.9318
"Michigan",1.667
"Cincinnati",1.5951
"Oklahoma State",1.4523
"Oregon",1.3606
"Notre Dame",1.284
"Michigan State",1.2065
"Ole Miss",1.1847
"Texas A&M",1.181
"Wake Forest",1.1639
"Baylor",1.1554
"Utah",1.1526
"Penn State",1.1441
"NC State",1.1034
"Clemson",1.0826
"Iowa State",1.0514
"Pittsburgh",1.0486
"Boise State",1.0202
"Wisconsin",0.9994
"Oklahoma",0.9294
"Mississippi State",0.9294
"BYU",0.8859
"Arkansas",0.8708
"Auburn",0.8415
"Kansas State",0.8377
"Kentucky",0.8254
"Nebraska",0.7895
"SMU",0.7413
"Arizona State",0.7347
"UT San Antonio",0.7328
"Iowa",0.7318
"Florida",0.7243
"Nevada",0.7176
"Purdue",0.7034
"LSU",0.6751
"Houston",0.6628
"Air Force",0.6524
"San Diego State",0.6363
"Oregon State",0.5919
"Fresno State",0.5805
"Louisville",0.5796
"Minnesota",0.5503
"UCLA",0.5077
"Tennessee",0.4756
"Washington State",0.4746
"Liberty",0.4207
"Utah State",0.4028
"North Carolina",0.398
"Army",0.3971
"Texas",0.3876
"Appalachian State",0.3867
"California",0.2543
"Miami",0.2325
"Western Kentucky",0.2307
"Syracuse",0.207
"Coastal Carolina",0.1777
"Toledo",0.1673
"Washington",0.1635
"Texas Tech",0.1503
"West Virginia",0.1361
"Florida State",0.1304
"Memphis",0.1077
"Louisiana",0.0992
"Virginia",0.0926
"Virginia Tech",0.0879
"Marshall",0.0879
"Tulsa",0.0869
"Rutgers",0.0567
"USC",0.0548
"South Carolina",0.0491
"UCF",0.0311
"Boston College",0.0264
"East Carolina",0.0236
"Illinois",-0.0114
"Stanford",-0.0634
"TCU",-0.1173
"Georgia Tech",-0.1183
"Colorado State",-0.1419
"Wyoming",-0.1665
"UAB",-0.2119
"Western Michigan",-0.2601
"Louisiana Tech",-0.2979
"Miami (OH)",-0.3178
"Ball State",-0.3717
"Navy",-0.3915
"Missouri",-0.4208
"Indiana",-0.4889
"Northern Illinois",-0.522
"Colorado",-0.5305
"Eastern Michigan",-0.5428
"Hawai'i",-0.5532
"Central Michigan",-0.5617
"Maryland",-0.5797
"Arizona",-0.5967
"San Jose State",-0.6374
"UNLV",-0.644
"Georgia State",-0.6582
"Northwestern",-0.7017
"Middle Tennessee",-0.7026
"South Florida",-0.7064
"Tulane",-0.7821
"Troy",-0.8199
"South Alabama",-0.9003
"Florida Atlantic",-0.9646
"UTEP",-1.0043
"Old Dominion",-1.0402
"Bowling Green",-1.1764
"Kent State",-1.183
"North Texas",-1.2397
"Buffalo",-1.2426
"Kansas",-1.2671
"Louisiana Monroe",-1.3125
"Arkansas State",-1.3418
"Texas State",-1.3551
"Charlotte",-1.3617
"Ohio",-1.374
"Vanderbilt",-1.4392
"New Mexico",-1.443
"Duke",-1.4761
"Georgia Southern",-1.5357
"Rice",-1.6662
"New Mexico State",-1.7399
"Akron",-1.8317
"Southern Mississippi",-1.9196
"Temple",-1.9924
"Connecticut",-2.0709
"Florida International",-2.3536
"UMass",-2.8945
