"team","tpr"
"Georgia",2.6583
"Alabama",2.0651
"Cincinnati",1.8301
"Ohio State",1.8163
"Michigan",1.7447
"Michigan State",1.5206
"Oregon",1.3259
"Wake Forest",1.2782
"Oklahoma State",1.2424
"Baylor",1.1708
"Penn State",1.1313
"Oklahoma",1.1212
"Notre Dame",1.0918
"Texas A&M",1.0734
"Utah",1.0468
"Pittsburgh",1.0404
"Iowa State",1.0293
"Auburn",0.988
"Clemson",0.9862
"Nebraska",0.9586
"Florida",0.9394
"Nevada",0.9182
"Ole Miss",0.9146
"NC State",0.8677
"Kentucky",0.8604
"Fresno State",0.8567
"Boise State",0.853
"Kansas State",0.8429
"BYU",0.8264
"Iowa",0.8209
"Minnesota",0.7787
"Wisconsin",0.7777
"UT San Antonio",0.7631
"Arkansas",0.7585
"Air Force",0.6997
"Mississippi State",0.6979
"Purdue",0.6878
"San Diego State",0.6639
"Arizona State",0.6519
"Texas",0.6373
"Oregon State",0.6152
"SMU",0.6042
"Washington State",0.539
"Houston",0.528
"Liberty",0.4812
"UCLA",0.4766
"Syracuse",0.4242
"West Virginia",0.4178
"California",0.4086
"Louisville",0.4049
"LSU",0.4031
"Coastal Carolina",0.393
"Utah State",0.37
"Tennessee",0.2764
"Appalachian State",0.269
"Rutgers",0.2626
"Stanford",0.2617
"Washington",0.2553
"Virginia",0.2424
"Miami",0.2378
"Toledo",0.2323
"UCF",0.2185
"Marshall",0.18
"Virginia Tech",0.1662
"Western Kentucky",0.146
"North Carolina",0.1341
"Army",0.1341
"Florida State",0.1184
"Colorado State",0.1037
"USC",0.0982
"Louisiana",0.0744
"Texas Tech",0.0184
"Western Michigan",-0.0037
"Memphis",-0.0266
"Georgia Tech",-0.0882
"TCU",-0.112
"East Carolina",-0.112
"Illinois",-0.158
"Indiana",-0.1928
"Navy",-0.2195
"Tulsa",-0.2222
"Hawai'i",-0.2939
"Miami (OH)",-0.2948
"South Carolina",-0.3131
"Ball State",-0.3177
"Louisiana Tech",-0.3232
"Wyoming",-0.3242
"Boston College",-0.3517
"Northern Illinois",-0.4261
"Maryland",-0.4646
"Eastern Michigan",-0.5399
"Middle Tennessee",-0.5464
"Northwestern",-0.5721
"Missouri",-0.5831
"San Jose State",-0.6253
"UAB",-0.6364
"Colorado",-0.6538
"South Alabama",-0.6538
"Florida Atlantic",-0.6648
"UNLV",-0.6804
"Troy",-0.7447
"Tulane",-0.7713
"Bowling Green",-0.7971
"UTEP",-0.8577
"South Florida",-0.8696
"Arizona",-0.8834
"Georgia State",-0.9109
"Central Michigan",-0.9293
"Buffalo",-0.978
"Old Dominion",-1.1028
"Kent State",-1.1074
"Louisiana Monroe",-1.112
"Texas State",-1.236
"New Mexico",-1.2837
"Arkansas State",-1.2947
"Duke",-1.3361
"North Texas",-1.3792
"New Mexico State",-1.4049
"Charlotte",-1.4132
"Vanderbilt",-1.4389
"Kansas",-1.5041
"Georgia Southern",-1.5666
"Rice",-1.8108
"Temple",-1.8797
"Ohio",-1.8824
"Akron",-2.1111
"Connecticut",-2.1221
"Florida International",-2.1818
"Southern Mississippi",-2.3618
"UMass",-2.7594
