"team","tpr"
"Georgia",2.5618
"Alabama",2.1637
"Michigan",1.8863
"Cincinnati",1.8594
"Ohio State",1.8214
"Pittsburgh",1.4363
"Michigan State",1.3825
"Oregon",1.3064
"Florida",1.2721
"Wake Forest",1.2461
"Oklahoma State",1.2099
"Iowa State",1.2016
"Iowa",1.158
"Ole Miss",1.158
"Baylor",1.1542
"Nebraska",1.1273
"Kentucky",1.1246
"Texas A&M",1.1106
"Penn State",1.106
"Notre Dame",1.0513
"Clemson",0.9956
"Utah",0.9909
"Oklahoma",0.9835
"Arizona State",0.9603
"San Diego State",0.8935
"Auburn",0.8072
"Arkansas",0.7952
"Kansas State",0.7646
"Oregon State",0.759
"Nevada",0.7516
"BYU",0.7423
"Boise State",0.7414
"UT San Antonio",0.7349
"Minnesota",0.7293
"Air Force",0.7172
"SMU",0.7089
"Fresno State",0.6996
"NC State",0.6977
"Purdue",0.6402
"UCLA",0.6337
"Coastal Carolina",0.6068
"Texas",0.5558
"Louisville",0.5335
"Wisconsin",0.515
"LSU",0.4983
"Tennessee",0.4732
"Mississippi State",0.4444
"Liberty",0.3767
"Stanford",0.3563
"Virginia",0.3535
"Toledo",0.3405
"Syracuse",0.3387
"Houston",0.3034
"Western Michigan",0.2886
"Washington State",0.2849
"Rutgers",0.2552
"Colorado State",0.219
"Utah State",0.2162
"Washington",0.1596
"California",0.142
"Appalachian State",0.1049
"UCF",0.0984
"Georgia Tech",0.0984
"West Virginia",0.0872
"Texas Tech",0.0705
"USC",0.0612
"Army",0.0529
"Florida State",0.0464
"North Carolina",0.0269
"Marshall",0.026
"Western Kentucky",0.0149
"Virginia Tech",0.0028
"TCU",-0.1021
"Memphis",-0.1178
"Miami",-0.1531
"Illinois",-0.1568
"Louisiana",-0.1698
"Tulsa",-0.2023
"Indiana",-0.2162
"Hawai'i",-0.2236
"Boston College",-0.2347
"Ball State",-0.2431
"Wyoming",-0.2746
"Miami (OH)",-0.2904
"Navy",-0.3034
"East Carolina",-0.3117
"South Carolina",-0.3229
"Louisiana Tech",-0.3442
"Northern Illinois",-0.3563
"Northwestern",-0.385
"Missouri",-0.4583
"Eastern Michigan",-0.5075
"Florida Atlantic",-0.5112
"San Jose State",-0.5882
"UAB",-0.5938
"Maryland",-0.6152
"UNLV",-0.6328
"Middle Tennessee",-0.6504
"Colorado",-0.7042
"Buffalo",-0.7052
"South Florida",-0.7896
"South Alabama",-0.8425
"Central Michigan",-0.8601
"Bowling Green",-0.9
"Kent State",-0.9297
"UTEP",-0.9325
"Georgia State",-0.9872
"Arizona",-1.0011
"Troy",-1.0067
"Tulane",-1.055
"Louisiana Monroe",-1.0717
"Duke",-1.0754
"Texas State",-1.1162
"New Mexico",-1.2071
"Charlotte",-1.2582
"Old Dominion",-1.3027
"Arkansas State",-1.3287
"New Mexico State",-1.3491
"Vanderbilt",-1.3639
"Kansas",-1.4001
"North Texas",-1.4298
"Georgia Southern",-1.697
"Temple",-1.7833
"Ohio",-1.8093
"Rice",-1.826
"Florida International",-2.0672
"Akron",-2.1211
"Connecticut",-2.1452
"Southern Mississippi",-2.4022
"UMass",-2.6026
