"team","vs"
"Georgia",2.79398738808566
"Alabama",2.56798870848832
"Oregon",2.121303924488
"Texas A&M",2.11758243369085
"Ohio State",1.94739352600138
"Iowa",1.91655842764544
"Clemson",1.81900584703237
"Oklahoma",1.8150651789527
"Florida",1.59346139218925
"Notre Dame",1.59346139218925
"Penn State",1.45556329371296
"Cincinnati",1.45556329371296
"Iowa State",1.16255057126885
"Miami",1.10344837616631
"Kentucky",1.02028541545067
"Oklahoma State",1.00158731266351
"Michigan",0.9686693686559
"Ole Miss",0.9686693686559
"Mississippi State",0.963946145615375
"BYU",0.954484033752765
"UCF",0.887653169190497
"TCU",0.868362666525179
"Virginia Tech",0.863526134690278
"Kansas State",0.848982854544778
"UCLA",0.848982854544778
"Auburn",0.814849500530595
"Texas",0.760634223226003
"Arkansas",0.755669780166145
"Wisconsin",0.71573426659137
"Pittsburgh",0.649981836663613
"Indiana",0.629529968111124
"Coastal Carolina",0.608971577248289
"Michigan State",0.577930570084194
"LSU",0.551872854162345
"Arizona State",0.53615365406983
"UAB",0.525638469689677
"Memphis",0.515094436904425
"Virginia",0.515094436904425
"Minnesota",0.472624996698414
"USC",0.445838235353585
"Utah",0.435069994473044
"Liberty",0.408013230386555
"Texas Tech",0.391684441198237
"North Carolina",0.391684441198237
"Nevada",0.375283452917416
"Army",0.347785395796006
"Stanford",0.342260992302946
"SMU",0.331187093300285
"Missouri",0.320079483564437
"Boise State",0.303354182455533
"Louisiana",0.297761888120317
"Purdue",0.280932862101067
"Colorado",0.275305670072288
"Maryland",0.258370965073652
"Wake Forest",0.252708213771392
"Boston College",0.201333413730148
"Rutgers",0.189814601638021
"Baylor",0.166662739118572
"NC State",0.14335600946272
"Northwestern",0.1316435892461
"Appalachian State",0.12577243975082
"Marshall",0.119891262651219
"Wyoming",0.0843907018936684
"Fresno State",0.0843907018936684
"South Carolina",0.0545214236558045
"UT San Antonio",0.0485157632128534
"Air Force",0.042499368766651
"San Diego State",0.0122543464922442
"Utah State",-0.0428905462062006
"Louisville",-0.0926997407851661
"Florida Atlantic",-0.0926997407851661
"Tennessee",-0.105272710673246
"Tulane",-0.105272710673246
"Ball State",-0.156064550971202
"Kent State",-0.162471020953956
"West Virginia",-0.168890525504061
"Washington",-0.18176895866728
"Nebraska",-0.207685810323481
"Toledo",-0.233820462136878
"San Jose State",-0.286765749590361
"Western Michigan",-0.347457092152929
"Oregon State",-0.347457092152929
"Houston",-0.361113243323336
"Charlotte",-0.367965027726059
"Louisiana Tech",-0.381716567474239
"Washington State",-0.465617875460302
"Illinois",-0.515720280664166
"Florida State",-0.552063375039812
"California",-0.559389456422203
"South Alabama",-0.574100306818847
"Syracuse",-0.58889046271515
"Buffalo",-0.596315684032393
"Miami (OH)",-0.603761220706537
"Troy",-0.656463189363876
"Arkansas State",-0.664077485511957
"Western Kentucky",-0.664077485511957
"Tulsa",-0.679372003410038
"Georgia Tech",-0.679372003410038
"Middle Tennessee",-0.718001940216002
"Hawai'i",-0.765129453908864
"New Mexico",-0.789022567429347
"Duke",-0.797037268006844
"Kansas",-0.797037268006844
"Georgia Southern",-0.805077534012226
"Vanderbilt",-0.84567110427
"Central Michigan",-0.870350422479708
"Eastern Michigan",-0.878632354238986
"South Florida",-0.90364862460963
"Northern Illinois",-0.920471168334588
"Georgia State",-0.945928701284962
"Temple",-0.954475487775724
"Arizona",-0.971662470426553
"Texas State",-1.01519114523385
"Navy",-1.04170791930802
"North Texas",-1.06853730071432
"UTEP",-1.09569061327443
"Southern Mississippi",-1.1510178925
"East Carolina",-1.16977700183059
"Old Dominion",-1.37766864892752
"Louisiana Monroe",-1.38812686845661
"Rice",-1.43053924260344
"Colorado State",-1.45210697945417
"Ohio",-1.54099421257563
"Florida International",-1.57549574981069
"UNLV",-1.58714911463862
"UMass",-1.74648869162344
"Akron",-1.95327235072755
"Bowling Green",-2.17968107902399
"Connecticut",-2.29189909437553
"New Mexico State",-2.68150790331617
