"team","vs"
"Georgia",2.2605383150749
"Alabama",2.25174782231825
"Ohio State",2.07958271038298
"Oklahoma",1.8419539975448
"Clemson",1.81847554531103
"Texas A&M",1.72783750892956
"Notre Dame",1.51547492488494
"Cincinnati",1.48610978593981
"Florida",1.47120463748066
"Iowa State",1.39432795249036
"Iowa",1.3036541247416
"Texas",1.29644233972802
"Oregon",1.28677134822236
"Penn State",1.16547577994539
"USC",1.13082940112344
"Miami",1.00711977168978
"Auburn",0.956393673490765
"Oklahoma State",0.910136366776344
"UCF",0.903857452513382
"Utah",0.897551647743286
"UCLA",0.888042014062513
"Ole Miss",0.809669467060217
"TCU",0.741013526239491
"Missouri",0.73043333822407
"LSU",0.723337405630693
"Kentucky",0.719776573995943
"Michigan",0.71262897178828
"Virginia Tech",0.687335534732948
"Wisconsin",0.661599992815866
"BYU",0.650431267987147
"Minnesota",0.646689453614158
"Arizona State",0.635406615543241
"Mississippi State",0.608738817633314
"Coastal Carolina",0.593280374715776
"Indiana",0.581579095940362
"Kansas State",0.577657913427545
"Appalachian State",0.56978408095592
"Louisiana",0.56583131841193
"NC State",0.553908960451119
"Michigan State",0.48863940856764
"Nevada",0.476072591201624
"Pittsburgh",0.442027070646881
"Memphis",0.437715491685043
"Tennessee",0.411577471036422
"Maryland",0.402760659282133
"North Carolina",0.362418323015035
"Liberty",0.348721450632329
"Baylor",0.344127365272392
"Boston College",0.330258473126263
"Arkansas",0.325606326559933
"Wake Forest",0.320939434654954
"Boise State",0.316257703641052
"Virginia",0.316257703641052
"UAB",0.316257703641052
"Texas Tech",0.30212252471406
"Colorado",0.29738048144179
"Purdue",0.258884088309539
"SMU",0.254000491250979
"Army",0.234302496288148
"Washington",0.224353788415742
"Tulane",0.188994208725723
"Marshall",0.178733517980373
"Northwestern",0.157995102423553
"Florida State",0.147515320365642
"San Jose State",0.126329297824572
"Buffalo",0.104833979375769
"West Virginia",0.0830202002004404
"South Carolina",0.0664451302680594
"UT San Antonio",0.060878381998836
"Ball State",0.060878381998836
"Air Force",-0.0134723296331535
"Fresno State",-0.055118831763504
"Stanford",-0.0672374447280508
"San Diego State",-0.0672374447280508
"Syracuse",-0.0733343609482879
"Rutgers",-0.0856044583173666
"Wyoming",-0.123040453579646
"Louisville",-0.142121539145569
"Toledo",-0.142121539145569
"Miami (OH)",-0.167953836174343
"Florida Atlantic",-0.2210191526591
"Kent State",-0.248286657173793
"Hawai'i",-0.25518317171806
"Nebraska",-0.269073870621594
"Georgia Southern",-0.283096863886128
"California",-0.297254695692238
"Illinois",-0.297254695692238
"Arkansas State",-0.318750014141041
"Troy",-0.362705611517974
"Utah State",-0.370160833335785
"Western Kentucky",-0.392755698668148
"Charlotte",-0.454760782911001
"Houston",-0.478702825280314
"Washington State",-0.494883242650647
"Tulsa",-0.511243446115206
"Western Michigan",-0.552957373690942
"Oregon State",-0.561443870748494
"Louisiana Tech",-0.658173778307897
"Middle Tennessee",-0.676464736050539
"Kansas",-0.694985774762999
"Navy",-0.704334397681879
"Eastern Michigan",-0.732741770714035
"Arizona",-0.742334007657851
"Georgia State",-0.751989144965363
"Northern Illinois",-0.771491458731368
"South Alabama",-0.811288561456465
"East Carolina",-0.821408210661082
"North Texas",-0.841858583342558
"Central Michigan",-0.841858583342558
"Georgia Tech",-0.852191279524181
"New Mexico",-0.904971237340773
"Ohio",-0.959713719324096
"South Florida",-0.970910755514895
"Duke",-0.970910755514895
"UTEP",-1.03994229570151
"Colorado State",-1.06369124867793
"Vanderbilt",-1.12479558374317
"Florida International",-1.24161125398203
"Temple",-1.38329771284091
"Texas State",-1.41334779999108
"Rice",-1.42860600040333
"Southern Mississippi",-1.55672182713022
"Louisiana Monroe",-1.66069935648406
"Akron",-1.77258124628829
"UNLV",-1.93635022327009
"Old Dominion",-2.07236099204005
"Bowling Green",-2.24875665761717
"UMass",-2.27577398743695
"Connecticut",-3.04620620953238
"New Mexico State",-3.46979020304919
