"team","vs"
"Georgia",2.5235
"Michigan",2.1357
"Oklahoma State",2.0526
"Alabama",2.0526
"Cincinnati",2.0249
"Iowa",1.9972
"Penn State",1.9349
"Kentucky",1.7341
"Oklahoma",1.6441
"BYU",1.5679
"Texas",1.5402
"Arkansas",1.5125
"Notre Dame",1.3463
"Wake Forest",1.2909
"Wyoming",1.2147
"Western Michigan",1.1732
"Michigan State",1.1386
"SMU",1.1316
"Ohio State",1.0693
"Kansas State",1.0278
"Coastal Carolina",1.0139
"Florida",0.9239
"NC State",0.917
"Clemson",0.8824
"Pittsburgh",0.8616
"UT San Antonio",0.8477
"Auburn",0.8131
"Maryland",0.7923
"Texas Tech",0.7508
"Arizona State",0.73
"Louisiana",0.7162
"Baylor",0.6677
"Stanford",0.6608
"Oregon",0.6608
"Oregon State",0.6608
"Ole Miss",0.6192
"San Diego State",0.5154
"Rutgers",0.4946
"South Carolina",0.46
"Northern Illinois",0.4392
"Houston",0.4253
"Iowa State",0.3838
"Mississippi State",0.3838
"Virginia",0.3699
"UCLA",0.363
"Indiana",0.3215
"Boston College",0.3076
"Appalachian State",0.2522
"Wisconsin",0.2453
"North Carolina",0.2176
"USC",0.2037
"Texas A&M",0.2037
"Nevada",0.2037
"LSU",0.176
"Purdue",0.1691
"Virginia Tech",0.1137
"Utah",0.0999
"Air Force",0.0999
"TCU",0.093
"Minnesota",0.093
"Liberty",0.086
"Louisville",0.0722
"Tennessee",0.0376
"Army",0.0099
"Georgia Tech",0.0029
"Utah State",0.0029
"Louisiana Monroe",-0.0109
"Nebraska",-0.0248
"Toledo",-0.0386
"Miami",-0.0525
"Ball State",-0.0663
"West Virginia",-0.1217
"South Alabama",-0.1563
"Boise State",-0.1633
"Memphis",-0.1702
"UAB",-0.1771
"San Jose State",-0.184
"Kent State",-0.2048
"Fresno State",-0.2117
"Vanderbilt",-0.2948
"East Carolina",-0.3225
"Florida Atlantic",-0.3502
"Hawai'i",-0.3779
"Washington",-0.3779
"Colorado State",-0.3849
"Illinois",-0.3849
"Temple",-0.3918
"Louisiana Tech",-0.3918
"Duke",-0.4472
"Syracuse",-0.461
"South Florida",-0.5026
"Rice",-0.551
"UTEP",-0.5926
"Eastern Michigan",-0.648
"Bowling Green",-0.6688
"Missouri",-0.6757
"Tulsa",-0.6965
"Northwestern",-0.7449
"Charlotte",-0.7449
"Washington State",-0.7449
"Western Kentucky",-0.7796
"Buffalo",-0.7796
"Georgia Southern",-0.7865
"Miami (OH)",-0.7865
"Florida State",-0.8003
"Middle Tennessee",-0.8142
"Troy",-0.8973
"Georgia State",-0.9111
"UCF",-1.0011
"Kansas",-1.0496
"Navy",-1.0981
"Colorado",-1.1258
"Marshall",-1.2089
"Southern Mississippi",-1.4097
"New Mexico",-1.4097
"Tulane",-1.4166
"Central Michigan",-1.4166
"UNLV",-1.4236
"California",-1.4236
"Ohio",-1.4512
"North Texas",-1.5136
"Akron",-1.5413
"Texas State",-1.569
"Old Dominion",-1.6105
"Arkansas State",-1.6174
"Arizona",-1.6867
"UMass",-1.7005
"Connecticut",-1.8806
"New Mexico State",-1.8875
"Florida International",-2.1437
