"team","vs"
"Georgia",2.2482
"Notre Dame",1.9382
"Oklahoma State",1.9253
"Michigan",1.8736
"Ohio State",1.8413
"Michigan State",1.6993
"Cincinnati",1.6153
"Alabama",1.6153
"Wisconsin",1.5766
"Oklahoma",1.5443
"Baylor",1.4668
"Iowa",1.4216
"Wake Forest",1.3893
"Ole Miss",1.3828
"Oregon",1.3053
"BYU",1.2407
"Kansas State",1.1955
"Purdue",1.1568
"UT San Antonio",1.0922
"Texas A&M",1.047
"Penn State",1.0341
"Arkansas",1.0083
"San Diego State",0.9824
"Iowa State",0.9114
"Houston",0.9049
"Pittsburgh",0.821
"Clemson",0.7952
"NC State",0.7887
"Auburn",0.7693
"Utah State",0.7629
"Mississippi State",0.7435
"Boise State",0.7435
"Louisiana",0.737
"Utah",0.7306
"Virginia",0.7112
"Appalachian State",0.6983
"Kentucky",0.6466
"Texas Tech",0.6079
"Fresno State",0.5691
"Minnesota",0.5175
"SMU",0.4658
"Miami",0.4529
"Arizona State",0.4464
"Louisville",0.44
"Army",0.4335
"Air Force",0.3948
"Rutgers",0.3948
"North Carolina",0.3819
"Maryland",0.3819
"Nevada",0.3754
"Tennessee",0.356
"West Virginia",0.285
"Northern Illinois",0.285
"Illinois",0.2785
"Texas",0.2721
"UCLA",0.2398
"TCU",0.2075
"Washington State",0.1946
"UCF",0.1106
"LSU",0.0913
"Coastal Carolina",0.0654
"Florida State",0.046
"Western Kentucky",0.046
"Oregon State",-0.0121
"UAB",-0.0185
"Syracuse",-0.0185
"Boston College",-0.025
"Missouri",-0.0379
"Florida",-0.0379
"Virginia Tech",-0.0637
"East Carolina",-0.0702
"Liberty",-0.0702
"South Carolina",-0.0702
"Georgia State",-0.096
"Western Michigan",-0.1025
"Nebraska",-0.1864
"USC",-0.2575
"Kent State",-0.2575
"Central Michigan",-0.2704
"Memphis",-0.2962
"Tulsa",-0.3027
"Indiana",-0.3479
"Ball State",-0.3802
"Northwestern",-0.3931
"Kansas",-0.3995
"Wyoming",-0.406
"Washington",-0.4512
"Marshall",-0.4641
"Eastern Michigan",-0.4835
"Navy",-0.5158
"Georgia Tech",-0.5222
"Toledo",-0.5545
"Stanford",-0.5545
"Miami (OH)",-0.561
"California",-0.6643
"San Jose State",-0.6966
"UTEP",-0.7806
"Colorado",-0.8064
"Middle Tennessee",-0.8064
"Louisiana Monroe",-0.8387
"Colorado State",-0.8451
"Troy",-0.8516
"Duke",-0.8774
"Florida Atlantic",-0.8839
"South Florida",-0.8839
"Hawai'i",-0.8903
"UNLV",-0.9097
"Louisiana Tech",-0.9291
"Charlotte",-1.0001
"Old Dominion",-1.0712
"North Texas",-1.0776
"South Alabama",-1.1034
"Rice",-1.2003
"Temple",-1.2003
"Ohio",-1.2197
"Vanderbilt",-1.2649
"Bowling Green",-1.3166
"Buffalo",-1.3424
"Texas State",-1.3488
"New Mexico",-1.3553
"Georgia Southern",-1.4199
"Tulane",-1.4392
"Arizona",-1.4457
"Arkansas State",-1.4974
"Akron",-1.7815
"New Mexico State",-1.9752
"UMass",-2.0205
"Connecticut",-2.0334
"Southern Mississippi",-2.2723
"Florida International",-2.4273
