"team","vs"
"Georgia",2.2986
"Michigan",2.0173
"Oklahoma State",1.8198
"Wake Forest",1.8079
"Cincinnati",1.6822
"Iowa",1.6702
"Notre Dame",1.6642
"Oklahoma",1.6523
"Michigan State",1.5386
"Baylor",1.5026
"Iowa State",1.4847
"Alabama",1.4787
"Kentucky",1.4368
"Ole Miss",1.4248
"Ohio State",1.365
"San Diego State",1.2752
"Penn State",1.1974
"Wisconsin",1.1855
"Virginia",1.1436
"UT San Antonio",1.0718
"Auburn",1.0358
"Kansas State",0.9999
"Pittsburgh",0.982
"Oregon",0.976
"Purdue",0.9401
"BYU",0.9281
"Minnesota",0.8264
"Texas",0.8264
"Texas A&M",0.8204
"Arkansas",0.8024
"Louisville",0.7187
"SMU",0.7007
"Northern Illinois",0.6588
"Air Force",0.6409
"Utah State",0.581
"Oregon State",0.5391
"Utah",0.5391
"Maryland",0.4613
"Houston",0.4553
"Fresno State",0.4194
"Louisiana",0.4134
"Appalachian State",0.3895
"Boise State",0.3835
"Florida",0.3775
"Clemson",0.3716
"LSU",0.3596
"NC State",0.3476
"Western Michigan",0.3356
"Illinois",0.3297
"Arizona State",0.3237
"Coastal Carolina",0.3117
"Mississippi State",0.2997
"North Carolina",0.2938
"Nevada",0.2938
"Miami",0.2578
"UCLA",0.2519
"Army",0.204
"Georgia Tech",0.1441
"Texas Tech",0.1382
"Louisiana Monroe",0.1142
"Florida State",0.0963
"Washington State",0.0544
"Nebraska",0.0424
"Tennessee",0.0364
"Indiana",-0.0055
"Stanford",-0.0414
"West Virginia",-0.0593
"UTEP",-0.0593
"Ball State",-0.0653
"Wyoming",-0.0833
"UCF",-0.1012
"Liberty",-0.1192
"Rutgers",-0.1192
"South Carolina",-0.1252
"TCU",-0.1252
"USC",-0.1371
"Toledo",-0.1431
"Georgia State",-0.1551
"Eastern Michigan",-0.173
"Kent State",-0.2149
"Tulsa",-0.2209
"Miami (OH)",-0.2449
"UAB",-0.2688
"Northwestern",-0.2688
"Colorado State",-0.2868
"Syracuse",-0.2927
"Rice",-0.3406
"Virginia Tech",-0.3945
"Boston College",-0.4244
"Western Kentucky",-0.4483
"Florida Atlantic",-0.4603
"Hawai'i",-0.5142
"Duke",-0.586
"San Jose State",-0.6458
"Memphis",-0.6578
"Washington",-0.6758
"South Florida",-0.6937
"Charlotte",-0.6937
"Missouri",-0.7117
"Troy",-0.7176
"New Mexico",-0.7296
"Kansas",-0.7835
"Central Michigan",-0.7954
"South Alabama",-0.8014
"California",-0.8433
"Louisiana Tech",-0.8613
"East Carolina",-0.8673
"Middle Tennessee",-0.8673
"Buffalo",-0.975
"Vanderbilt",-1.0049
"Navy",-1.0408
"Marshall",-1.0528
"Temple",-1.0648
"Colorado",-1.2443
"Bowling Green",-1.2443
"Texas State",-1.2682
"UNLV",-1.4717
"UMass",-1.4777
"Georgia Southern",-1.4837
"Tulane",-1.5495
"Akron",-1.5794
"Southern Mississippi",-1.6692
"New Mexico State",-1.7949
"Arkansas State",-1.8069
"Old Dominion",-1.8487
"Ohio",-1.9146
"Connecticut",-2.0462
"North Texas",-2.0762
"Arizona",-2.1001
"Florida International",-2.2018
