"team","vs"
"Georgia",2.2155
"Oklahoma",1.8406
"Oklahoma State",1.8406
"Notre Dame",1.8342
"Ohio State",1.7135
"Michigan",1.7135
"Alabama",1.6944
"Michigan State",1.6627
"Cincinnati",1.6436
"Wisconsin",1.6182
"Iowa",1.4657
"Purdue",1.3386
"Texas A&M",1.3068
"Penn State",1.2179
"Baylor",1.2179
"BYU",1.1924
"UT San Antonio",1.1861
"Ole Miss",1.1734
"Oregon",1.167
"Wake Forest",1.1543
"Iowa State",1.148
"Kansas State",1.0781
"Auburn",1.0527
"Arkansas",0.9319
"Virginia",0.8175
"San Diego State",0.8175
"Miami",0.7985
"NC State",0.7667
"Houston",0.7604
"Appalachian State",0.7349
"Clemson",0.7095
"Boise State",0.7032
"Louisiana",0.7032
"Minnesota",0.7032
"Utah",0.6905
"Pittsburgh",0.6841
"Utah State",0.6841
"Kentucky",0.646
"Maryland",0.5824
"Texas",0.5634
"Nevada",0.538
"Mississippi State",0.5253
"North Carolina",0.5253
"Fresno State",0.5189
"Army",0.4681
"Illinois",0.4045
"West Virginia",0.4045
"Tennessee",0.3664
"Coastal Carolina",0.36
"Air Force",0.341
"Arizona State",0.3219
"Texas Tech",0.2965
"Washington State",0.2584
"UCF",0.2457
"Rutgers",0.2393
"Northern Illinois",0.2202
"South Carolina",0.2075
"TCU",0.1885
"Louisville",0.1567
"UCLA",0.144
"LSU",0.144
"SMU",0.1249
"Kent State",0.0805
"Western Kentucky",0.0296
"Florida",-0.0085
"Syracuse",-0.0403
"Eastern Michigan",-0.0657
"Nebraska",-0.0911
"Western Michigan",-0.1038
"Oregon State",-0.1102
"Liberty",-0.1229
"Indiana",-0.1356
"Georgia State",-0.1864
"Ball State",-0.1864
"Memphis",-0.1928
"Virginia Tech",-0.2373
"East Carolina",-0.2373
"USC",-0.25
"UAB",-0.2944
"Wyoming",-0.3199
"Boston College",-0.3262
"Florida State",-0.3262
"Georgia Tech",-0.3453
"Marshall",-0.3516
"Missouri",-0.3771
"Northwestern",-0.3898
"Washington",-0.4279
"Stanford",-0.4342
"Louisiana Monroe",-0.4342
"Tulsa",-0.4342
"UTEP",-0.5296
"Navy",-0.5486
"Florida Atlantic",-0.574
"Central Michigan",-0.5867
"Toledo",-0.5994
"San Jose State",-0.6122
"Hawai'i",-0.6503
"California",-0.6566
"Miami (OH)",-0.663
"Troy",-0.6757
"Colorado",-0.6884
"Charlotte",-0.7075
"Colorado State",-0.7265
"Duke",-0.7774
"Kansas",-0.8282
"Middle Tennessee",-0.8409
"Texas State",-0.9616
"South Florida",-0.9998
"South Alabama",-1.0442
"Bowling Green",-1.076
"Rice",-1.1332
"Buffalo",-1.1777
"UNLV",-1.184
"Vanderbilt",-1.2539
"Temple",-1.2603
"New Mexico",-1.3111
"Louisiana Tech",-1.3302
"Old Dominion",-1.3556
"Tulane",-1.3937
"Arizona",-1.4382
"North Texas",-1.489
"Ohio",-1.5589
"Georgia Southern",-1.6543
"Akron",-1.7559
"Arkansas State",-1.883
"UMass",-1.9021
"New Mexico State",-1.9084
"Connecticut",-2.08
"Florida International",-2.3024
"Southern Mississippi",-2.3342
