"team","vs"
"Georgia",2.2436
"Michigan State",2.0769
"Michigan",1.7868
"Oklahoma",1.7868
"Notre Dame",1.7683
"Oklahoma State",1.7559
"Baylor",1.7066
"Ohio State",1.6633
"Wake Forest",1.6633
"Cincinnati",1.6448
"Alabama",1.5152
"Wisconsin",1.3732
"Iowa",1.2744
"BYU",1.2497
"Auburn",1.225
"Oregon",1.0831
"Iowa State",1.0398
"Ole Miss",1.0275
"Minnesota",1.009
"UT San Antonio",1.0028
"Kansas State",0.9966
"Kentucky",0.9905
"Purdue",0.9781
"Penn State",0.9411
"San Diego State",0.8793
"Texas A&M",0.867
"Virginia",0.867
"Houston",0.7682
"Utah State",0.7621
"Appalachian State",0.7374
"Fresno State",0.7188
"Miami",0.688
"Texas",0.6818
"Arkansas",0.6756
"Maryland",0.6695
"Utah",0.6695
"Mississippi State",0.6633
"Air Force",0.6571
"NC State",0.6448
"Pittsburgh",0.6324
"Northern Illinois",0.5645
"Boise State",0.5583
"West Virginia",0.5151
"Clemson",0.4843
"Louisiana",0.4843
"Nevada",0.4657
"SMU",0.4411
"Coastal Carolina",0.404
"Washington State",0.3299
"Louisville",0.3299
"Rutgers",0.2805
"LSU",0.2744
"Oregon State",0.2682
"Florida",0.262
"Army",0.262
"North Carolina",0.2373
"Texas Tech",0.2312
"Western Michigan",0.1941
"UCLA",0.1262
"UCF",0.1077
"Arizona State",0.083
"Illinois",0.046
"Virginia Tech",0.0151
"Liberty",-0.0096
"Syracuse",-0.0466
"Tennessee",-0.0528
"Louisiana Monroe",-0.0528
"Nebraska",-0.0837
"USC",-0.1084
"Georgia State",-0.1084
"Ball State",-0.1331
"TCU",-0.1331
"Eastern Michigan",-0.1516
"Indiana",-0.1639
"Western Kentucky",-0.1886
"South Carolina",-0.1886
"Florida State",-0.2133
"Georgia Tech",-0.238
"Miami (OH)",-0.2442
"Toledo",-0.2442
"Kent State",-0.2565
"Florida Atlantic",-0.2627
"California",-0.2997
"UAB",-0.3059
"Northwestern",-0.3183
"Washington",-0.3368
"Stanford",-0.3429
"Wyoming",-0.3676
"UTEP",-0.417
"Colorado State",-0.4417
"East Carolina",-0.4417
"San Jose State",-0.4541
"Hawai'i",-0.5405
"Tulsa",-0.5467
"Missouri",-0.5652
"Memphis",-0.5837
"Navy",-0.6022
"Boston College",-0.6393
"Marshall",-0.6701
"Middle Tennessee",-0.6886
"Duke",-0.7195
"Kansas",-0.7812
"South Alabama",-0.8059
"Central Michigan",-0.8245
"Troy",-0.8553
"Charlotte",-0.8553
"Rice",-0.8924
"New Mexico",-0.9171
"South Florida",-0.9664
"Bowling Green",-1.0837
"Colorado",-1.1084
"Louisiana Tech",-1.1763
"Temple",-1.2072
"Buffalo",-1.2442
"Vanderbilt",-1.2504
"Texas State",-1.3307
"Tulane",-1.3739
"UNLV",-1.4726
"Old Dominion",-1.4788
"Georgia Southern",-1.5776
"North Texas",-1.5838
"UMass",-1.6578
"Akron",-1.6764
"New Mexico State",-1.843
"Arkansas State",-1.9109
"Arizona",-1.9912
"Southern Mississippi",-1.9912
"Connecticut",-2.0344
"Ohio",-2.0714
"Florida International",-2.2258
