"team","vs"
"Georgia",2.4507
"Oklahoma State",2.3626
"Michigan",2.0515
"Cincinnati",1.8401
"Penn State",1.8167
"Iowa",1.7756
"Oklahoma",1.7286
"Notre Dame",1.6053
"Michigan State",1.5173
"Baylor",1.4644
"Kentucky",1.4585
"Wake Forest",1.3646
"Alabama",1.2002
"Auburn",1.1944
"Ohio State",1.1885
"Ole Miss",1.1063
"Purdue",1.0593
"Pittsburgh",1.0124
"Iowa State",1.0065
"San Diego State",0.9713
"UT San Antonio",0.9654
"Texas",0.9419
"NC State",0.9361
"Wisconsin",0.9302
"Kansas State",0.9126
"Air Force",0.8304
"SMU",0.8186
"BYU",0.8069
"Clemson",0.801
"Western Michigan",0.7952
"Arkansas",0.7893
"Coastal Carolina",0.7775
"Utah",0.7775
"Northern Illinois",0.6954
"Oregon",0.6425
"Texas A&M",0.6367
"Virginia",0.6249
"Maryland",0.5779
"Nevada",0.5662
"Minnesota",0.5486
"Utah State",0.4781
"LSU",0.4723
"Wyoming",0.4723
"Ball State",0.4664
"Arizona State",0.4605
"Boise State",0.4018
"UCLA",0.396
"Louisiana",0.396
"TCU",0.3607
"Florida",0.3255
"Georgia Tech",0.3079
"Mississippi State",0.3079
"Houston",0.2844
"Indiana",0.2844
"Texas Tech",0.2727
"Oregon State",0.2492
"Fresno State",0.2492
"Louisville",0.2433
"Army",0.1905
"Washington State",0.1494
"Tennessee",0.1318
"North Carolina",0.1024
"South Carolina",0.0965
"UAB",0.0378
"Boston College",0.0261
"Louisiana Monroe",0.0202
"Stanford",-0.0209
"Nebraska",-0.0796
"USC",-0.0854
"Kent State",-0.1148
"Rutgers",-0.1324
"Appalachian State",-0.1676
"Virginia Tech",-0.1676
"Liberty",-0.1676
"Florida State",-0.1794
"Illinois",-0.1794
"UTEP",-0.197
"Eastern Michigan",-0.2146
"Colorado State",-0.2146
"Tulsa",-0.2557
"Northwestern",-0.3027
"Georgia State",-0.3555
"West Virginia",-0.3614
"Memphis",-0.4259
"Western Kentucky",-0.4259
"Toledo",-0.4377
"Miami",-0.467
"UCF",-0.4788
"Temple",-0.5023
"Duke",-0.5727
"Miami (OH)",-0.5844
"Hawai'i",-0.5903
"Syracuse",-0.5903
"Charlotte",-0.6138
"Missouri",-0.6314
"South Alabama",-0.6608
"Florida Atlantic",-0.6842
"Troy",-0.6842
"Kansas",-0.7371
"San Jose State",-0.7488
"Central Michigan",-0.7664
"Rice",-0.7664
"Louisiana Tech",-0.8075
"Washington",-0.8369
"Vanderbilt",-0.8604
"East Carolina",-0.8839
"Colorado",-0.9249
"South Florida",-0.9484
"Middle Tennessee",-0.966
"Bowling Green",-0.9719
"Texas State",-1.0306
"Buffalo",-1.0541
"California",-1.1069
"Navy",-1.1539
"UNLV",-1.1656
"Marshall",-1.1833
"Akron",-1.2126
"UMass",-1.2772
"New Mexico",-1.33
"Georgia Southern",-1.5766
"Tulane",-1.5883
"Southern Mississippi",-1.7234
"Ohio",-1.741
"Connecticut",-1.8466
"Arizona",-1.8877
"Arkansas State",-1.8936
"New Mexico State",-1.923
"Old Dominion",-1.9758
"North Texas",-2.058
"Florida International",-2.24
