"system","time","week"
"<<<<<<< Updated upstream",NA,NA
"fpi",2021-11-10 19:35:36,11
"fei",2021-11-10 19:35:37,11
"sp",2021-09-20 17:51:54,4
"laz",2021-11-10 19:35:40,11
"tr",2021-11-10 19:35:42,11
"vs",2021-11-10 19:35:43,11
"how",2021-11-10 19:35:45,11
"fox",2021-11-10 19:35:46,11
"dr",2021-11-10 19:35:47,11
"argh",2021-11-10 19:35:47,11
"tpr",2021-11-10 19:35:48,11
"pr",2021-11-10 19:35:50,11
"=======",NA,NA
"fpi",2021-11-10 19:35:36,11
"fei",2021-11-10 19:35:37,11
"sp",2021-09-20 17:51:54,4
"laz",2021-11-10 19:35:40,11
"tr",2021-11-10 19:35:42,11
"vs",2021-11-10 19:35:43,11
"how",2021-11-10 19:35:45,11
"fox",2021-11-10 19:35:46,11
"dr",2021-11-10 19:35:47,11
"argh",2021-11-10 19:35:47,11
"tpr",2021-11-10 19:35:48,11
"pr",2021-11-10 19:35:50,11
">>>>>>> Stashed changes",NA,NA
