"team","fei"
"Georgia",3.029
"Ohio State",2.3487
"Alabama",2.1697
"Michigan",1.7042
"Notre Dame",1.5073
"Oklahoma State",1.4894
"Wisconsin",1.4536
"Cincinnati",1.3462
"Ole Miss",1.2746
"Utah",1.2388
"Texas A&M",1.2209
"Baylor",1.1135
"NC State",1.0956
"Penn State",1.0956
"Wake Forest",1.0777
"Tennessee",1.0777
"Iowa State",1.0777
"Boise State",0.9524
"Arkansas",0.9345
"Oklahoma",0.8987
"Purdue",0.8987
"Kansas State",0.8808
"Kentucky",0.8629
"Oregon",0.8629
"Nebraska",0.845
"Auburn",0.845
"Pittsburgh",0.845
"Appalachian State",0.7913
"Iowa",0.7913
"Clemson",0.7734
"Mississippi State",0.7734
"Louisville",0.7555
"Florida",0.7555
"UCLA",0.7376
"Minnesota",0.7376
"Air Force",0.7017
"BYU",0.7017
"Michigan State",0.6838
"UT San Antonio",0.6301
"Florida State",0.5764
"Arizona State",0.5585
"Oregon State",0.5585
"Houston",0.5585
"LSU",0.5227
"Coastal Carolina",0.5227
"Texas",0.5048
"Louisiana",0.4869
"Army",0.4869
"Marshall",0.4511
"North Carolina",0.4332
"Fresno State",0.3616
"Western Kentucky",0.3437
"Miami",0.3437
"Washington State",0.3258
"Nevada",0.3258
"Virginia",0.29
"SMU",0.2721
"Liberty",0.2542
"East Carolina",0.2363
"Washington",0.2184
"San Diego State",0.2184
"California",0.2005
"Virginia Tech",0.1826
"West Virginia",0.1468
"UAB",0.1468
"UCF",0.111
"Illinois",0.0752
"South Carolina",0.0573
"Toledo",0.0573
"Syracuse",0.0573
"Utah State",-0.0143
"USC",-0.068
"Texas Tech",-0.0859
"Boston College",-0.0859
"Tulsa",-0.1575
"Wyoming",-0.1933
"Colorado State",-0.1933
"Rutgers",-0.247
"Missouri",-0.247
"Miami (OH)",-0.2649
"Memphis",-0.3007
"Eastern Michigan",-0.3007
"TCU",-0.3187
"Stanford",-0.3903
"Colorado",-0.4261
"Tulane",-0.4798
"Georgia State",-0.4977
"Navy",-0.5156
"Georgia Tech",-0.5335
"Maryland",-0.5514
"Western Michigan",-0.5514
"Central Michigan",-0.5693
"Florida Atlantic",-0.623
"Middle Tennessee",-0.623
"Ball State",-0.6409
"Indiana",-0.6767
"UTEP",-0.6767
"Louisiana Tech",-0.6946
"Northern Illinois",-0.7125
"Northwestern",-0.7304
"Old Dominion",-0.7662
"Arizona",-0.7662
"Hawai'i",-0.7841
"South Alabama",-0.802
"UNLV",-0.802
"San Jose State",-0.8736
"North Texas",-0.8915
"Troy",-0.9094
"South Florida",-0.9094
"Georgia Southern",-1.0884
"Kent State",-1.1063
"Buffalo",-1.1063
"Vanderbilt",-1.1242
"Louisiana Monroe",-1.2316
"Ohio",-1.2495
"Texas State",-1.3211
"Arkansas State",-1.357
"Duke",-1.3928
"Bowling Green",-1.4286
"Charlotte",-1.4465
"New Mexico",-1.4644
"Rice",-1.5539
"Southern Mississippi",-1.5718
"Kansas",-1.6255
"New Mexico State",-1.8045
"Temple",-2.0372
"Connecticut",-2.1625
"Florida International",-2.2699
"UMass",-2.2878
"Akron",-2.3594
