"team","fei"
"Alabama",2.599
"Georgia",2.2811
"Michigan",2.0228
"Ohio State",1.9235
"Clemson",1.8043
"Iowa",1.5857
"Florida",1.5062
"Penn State",1.4864
"Wisconsin",1.4069
"Auburn",1.3274
"Texas",1.3075
"Oklahoma",1.3075
"Iowa State",1.2479
"Cincinnati",1.2479
"Ole Miss",1.2479
"Oregon",1.1685
"Washington",1.1685
"LSU",1.1486
"Texas A&M",1.1287
"North Carolina",0.9896
"Kansas State",0.9698
"BYU",0.93
"Notre Dame",0.8903
"Oklahoma State",0.8307
"UCLA",0.7909
"Minnesota",0.7313
"Boise State",0.7115
"USC",0.7115
"Appalachian State",0.6717
"Michigan State",0.6717
"UCF",0.6519
"Baylor",0.632
"Virginia Tech",0.632
"Army",0.632
"Wake Forest",0.6121
"Utah",0.6121
"TCU",0.5923
"Arizona State",0.5923
"Louisiana",0.5724
"Arkansas",0.5525
"Texas Tech",0.5326
"Kentucky",0.4929
"Air Force",0.4532
"Stanford",0.4333
"Wyoming",0.3538
"Virginia",0.334
"Indiana",0.3141
"Purdue",0.3141
"Mississippi State",0.3141
"Memphis",0.2942
"San Diego State",0.2942
"Pittsburgh",0.2942
"Coastal Carolina",0.2545
"Miami",0.2346
"West Virginia",0.2346
"Tulsa",0.2147
"Fresno State",0.2147
"Louisville",0.2147
"Marshall",0.1949
"Nebraska",0.1949
"Florida Atlantic",0.1353
"NC State",0.0955
"Missouri",0.0955
"Houston",0.0757
"Western Michigan",0.0558
"SMU",0.0359
"Tennessee",0.016
"Liberty",0.016
"Buffalo",-0.0237
"Northwestern",-0.0634
"Boston College",-0.0634
"California",-0.0833
"Oregon State",-0.1032
"Colorado",-0.1032
"Tulane",-0.1032
"Florida State",-0.123
"Rutgers",-0.1826
"Maryland",-0.2224
"Western Kentucky",-0.2621
"Syracuse",-0.282
"Georgia Tech",-0.282
"UAB",-0.282
"South Carolina",-0.3019
"Toledo",-0.3019
"Louisiana Tech",-0.3019
"Miami (OH)",-0.3019
"Troy",-0.3217
"Washington State",-0.3217
"Duke",-0.3416
"Utah State",-0.3813
"Nevada",-0.4409
"Eastern Michigan",-0.4608
"Ball State",-0.4608
"Colorado State",-0.4608
"Central Michigan",-0.4807
"San Jose State",-0.5204
"East Carolina",-0.5403
"Kent State",-0.5999
"UT San Antonio",-0.6198
"Illinois",-0.6198
"Arkansas State",-0.6198
"Navy",-0.739
"Ohio",-0.7588
"Arizona",-0.7588
"Northern Illinois",-0.7986
"Georgia Southern",-0.8582
"South Alabama",-0.8979
"Vanderbilt",-0.9178
"Texas State",-0.9377
"Hawai'i",-0.9575
"Georgia State",-1.037
"Charlotte",-1.0569
"Southern Mississippi",-1.1165
"South Florida",-1.1364
"Florida International",-1.2158
"New Mexico",-1.2556
"Middle Tennessee",-1.2754
"Temple",-1.2953
"Kansas",-1.3549
"Louisiana Monroe",-1.5337
"North Texas",-1.5337
"Old Dominion",-1.6331
"UNLV",-1.653
"Rice",-1.6927
"UTEP",-1.7126
"New Mexico State",-1.9113
"Bowling Green",-2.0503
"UMass",-2.5669
"Akron",-2.6464
"Connecticut",-2.7259
