"team","fei"
"Alabama",2.745
"Georgia",2.5821
"Michigan",1.9714
"Texas",1.7475
"Ohio State",1.7271
"Florida",1.6457
"Clemson",1.5847
"Penn State",1.3811
"Iowa",1.3404
"Ole Miss",1.259
"Notre Dame",1.2386
"Cincinnati",1.2386
"Oklahoma",1.1979
"Oregon",1.1572
"Iowa State",1.1572
"Washington",1.0961
"Wisconsin",1.0757
"LSU",1.0757
"Auburn",1.0554
"Oklahoma State",1.0147
"Wake Forest",0.9333
"UCLA",0.8925
"Arkansas",0.8925
"Boise State",0.8722
"Texas A&M",0.8722
"BYU",0.8722
"Kansas State",0.8518
"Army",0.7908
"Arizona State",0.7704
"Air Force",0.7297
"Michigan State",0.7093
"UCF",0.7093
"Baylor",0.7093
"Appalachian State",0.6279
"Virginia Tech",0.5872
"North Carolina",0.5872
"Coastal Carolina",0.5668
"Utah",0.5668
"Kentucky",0.5465
"NC State",0.5261
"Louisiana",0.4447
"Purdue",0.4447
"TCU",0.4243
"Mississippi State",0.4243
"West Virginia",0.3633
"USC",0.3429
"Stanford",0.3226
"Pittsburgh",0.2819
"Louisville",0.2819
"Marshall",0.2819
"Oregon State",0.2615
"San Diego State",0.2615
"Texas Tech",0.2615
"Miami",0.2411
"Minnesota",0.2208
"Nebraska",0.2208
"SMU",0.2208
"Indiana",0.2004
"Western Michigan",0.1801
"Georgia Tech",0.1801
"Tulsa",0.1597
"Northwestern",0.1597
"Fresno State",0.1394
"Memphis",0.1394
"Rutgers",0.0986
"Virginia",0.0986
"Maryland",0.0579
"Houston",0.0376
"Tennessee",0.0172
"Boston College",0.0172
"California",-0.0438
"Missouri",-0.0438
"Liberty",-0.0438
"Florida State",-0.0438
"Wyoming",-0.0642
"Florida Atlantic",-0.1049
"UAB",-0.1253
"Toledo",-0.1253
"Syracuse",-0.166
"Eastern Michigan",-0.2067
"Western Kentucky",-0.2067
"South Carolina",-0.227
"Duke",-0.2474
"Tulane",-0.2474
"Colorado State",-0.2474
"Buffalo",-0.2881
"Louisiana Tech",-0.3288
"UT San Antonio",-0.4103
"Utah State",-0.4103
"Colorado",-0.4306
"Washington State",-0.451
"Miami (OH)",-0.451
"Nevada",-0.451
"Illinois",-0.512
"East Carolina",-0.5324
"Arkansas State",-0.6545
"Central Michigan",-0.6749
"Ball State",-0.6952
"San Jose State",-0.736
"Troy",-0.7563
"Navy",-0.7767
"Georgia Southern",-0.797
"Arizona",-0.797
"Northern Illinois",-0.8174
"South Alabama",-0.8581
"Georgia State",-0.8784
"Hawai'i",-0.9192
"Kent State",-0.9599
"South Florida",-1.0006
"Charlotte",-1.0413
"Vanderbilt",-1.1024
"Ohio",-1.1024
"Louisiana Monroe",-1.1634
"Temple",-1.2449
"Texas State",-1.2856
"Florida International",-1.3059
"Middle Tennessee",-1.3059
"Southern Mississippi",-1.3263
"Old Dominion",-1.4077
"Kansas",-1.4281
"North Texas",-1.4281
"UNLV",-1.4688
"New Mexico",-1.5095
"UTEP",-1.5706
"Rice",-1.6113
"Bowling Green",-1.6316
"New Mexico State",-2.0591
"Connecticut",-2.4459
"Akron",-2.6901
"UMass",-2.8326
