"team","fei"
"Georgia",2.8221
"Alabama",2.4207
"Ohio State",2.0576
"Michigan",1.9429
"Cincinnati",1.6562
"Penn State",1.5033
"Iowa State",1.446
"Florida",1.4268
"Iowa",1.3313
"Texas",1.3122
"Oklahoma",1.2739
"Auburn",1.1593
"Oklahoma State",1.121
"Clemson",1.1019
"Notre Dame",1.1019
"Ole Miss",1.0446
"Baylor",1.0255
"Arizona State",0.9872
"Kentucky",0.9872
"Texas A&M",0.949
"Wisconsin",0.949
"Pittsburgh",0.949
"Coastal Carolina",0.9299
"Michigan State",0.9108
"Wake Forest",0.8917
"Utah",0.8917
"Air Force",0.8917
"Oregon",0.8726
"Kansas State",0.8152
"UCLA",0.7961
"Nebraska",0.777
"LSU",0.777
"Tennessee",0.7388
"Purdue",0.7006
"Arkansas",0.7006
"Washington",0.6814
"Boise State",0.6814
"NC State",0.605
"Minnesota",0.5477
"BYU",0.5477
"Army",0.5285
"Louisiana",0.4903
"TCU",0.4903
"Virginia",0.4712
"Houston",0.433
"North Carolina",0.433
"Appalachian State",0.4139
"Virginia Tech",0.3948
"Oregon State",0.3565
"USC",0.3374
"Mississippi State",0.2992
"Louisville",0.2992
"Stanford",0.2801
"Indiana",0.2227
"Florida State",0.2036
"Liberty",0.2036
"SMU",0.2036
"Texas Tech",0.2036
"Miami",0.2036
"San Diego State",0.1654
"UCF",0.1654
"Syracuse",0.1463
"Fresno State",0.1463
"Western Michigan",0.1463
"UT San Antonio",0.0698
"Nevada",0.0698
"Washington State",0.0316
"Colorado State",0.0125
"Marshall",0.0125
"UAB",0.0125
"Ball State",-0.0066
"West Virginia",-0.0257
"Boston College",-0.1213
"Wyoming",-0.1404
"Florida Atlantic",-0.1404
"California",-0.1404
"Rutgers",-0.1595
"Toledo",-0.1595
"Western Kentucky",-0.1595
"Memphis",-0.1786
"Georgia Tech",-0.1977
"Colorado",-0.2551
"Northwestern",-0.2742
"East Carolina",-0.2742
"South Carolina",-0.3124
"Tulsa",-0.3124
"Eastern Michigan",-0.3506
"Utah State",-0.3698
"Illinois",-0.3698
"Miami (OH)",-0.3698
"Maryland",-0.4653
"Louisiana Tech",-0.5227
"Missouri",-0.5418
"South Alabama",-0.5418
"Tulane",-0.5991
"Buffalo",-0.6373
"Northern Illinois",-0.6373
"Georgia State",-0.6947
"Navy",-0.752
"Hawai'i",-0.8285
"Central Michigan",-0.8476
"San Jose State",-0.9049
"Duke",-0.9049
"UTEP",-0.9049
"Troy",-0.9814
"Georgia Southern",-0.9814
"Charlotte",-0.9814
"South Florida",-1.0196
"Middle Tennessee",-1.0196
"Kent State",-1.0769
"UNLV",-1.1152
"Texas State",-1.1343
"Arizona",-1.1534
"Vanderbilt",-1.1534
"Temple",-1.1725
"Ohio",-1.1916
"Arkansas State",-1.2298
"Old Dominion",-1.3445
"Louisiana Monroe",-1.421
"Bowling Green",-1.4783
"North Texas",-1.593
"New Mexico",-1.593
"Florida International",-1.593
"Southern Mississippi",-1.8223
"Kansas",-1.8223
"Rice",-1.8797
"New Mexico State",-1.937
"Akron",-2.1855
"Connecticut",-2.3575
"UMass",-2.4339
