"team","fei"
"Georgia",2.8787
"Alabama",2.1855
"Ohio State",2.0213
"Michigan",1.8024
"Wisconsin",1.4375
"Iowa State",1.3281
"Oklahoma State",1.2916
"Texas A&M",1.2734
"Wake Forest",1.2551
"Cincinnati",1.2186
"Notre Dame",1.2186
"Ole Miss",1.1821
"Utah",1.1457
"Oklahoma",1.1274
"Penn State",1.0909
"Auburn",1.0727
"Oregon",0.9815
"Baylor",0.9815
"Texas",0.9815
"Michigan State",0.9632
"Purdue",0.945
"Boise State",0.9085
"Nebraska",0.9085
"Kansas State",0.9085
"Florida",0.9085
"Iowa",0.8903
"NC State",0.8538
"Pittsburgh",0.8355
"Arkansas",0.799
"Clemson",0.7808
"Kentucky",0.7808
"Tennessee",0.7626
"BYU",0.7626
"Arizona State",0.7261
"Minnesota",0.7261
"Air Force",0.7261
"Appalachian State",0.6713
"Coastal Carolina",0.6713
"Mississippi State",0.6349
"LSU",0.6166
"UT San Antonio",0.6166
"UCLA",0.6166
"Army",0.5984
"North Carolina",0.5436
"Florida State",0.4889
"Virginia",0.4889
"Houston",0.4524
"Washington",0.4159
"Louisville",0.4159
"Marshall",0.3977
"Louisiana",0.3795
"Syracuse",0.3612
"Miami",0.343
"Washington State",0.343
"UCF",0.3065
"Liberty",0.27
"Oregon State",0.27
"Western Kentucky",0.2335
"SMU",0.2335
"Virginia Tech",0.2335
"West Virginia",0.2153
"San Diego State",0.2153
"Nevada",0.197
"TCU",0.1788
"East Carolina",0.1788
"Fresno State",0.1788
"Illinois",0.1423
"USC",0.0876
"California",0.0511
"Utah State",-0.0036
"Stanford",-0.0401
"Texas Tech",-0.0584
"South Carolina",-0.0766
"Toledo",-0.1131
"UAB",-0.1131
"Colorado State",-0.1313
"Georgia Tech",-0.1861
"Eastern Michigan",-0.1861
"Memphis",-0.2226
"Florida Atlantic",-0.2408
"Boston College",-0.2408
"Tulsa",-0.2773
"Indiana",-0.2955
"Rutgers",-0.332
"Western Michigan",-0.3503
"Ball State",-0.405
"Maryland",-0.405
"Colorado",-0.4232
"Wyoming",-0.4415
"Northwestern",-0.4597
"Miami (OH)",-0.478
"Georgia State",-0.5509
"Navy",-0.5874
"Missouri",-0.6057
"Louisiana Tech",-0.6421
"Tulane",-0.6786
"South Alabama",-0.7334
"Northern Illinois",-0.7516
"UTEP",-0.7516
"Arizona",-0.7516
"Buffalo",-0.7698
"San Jose State",-0.7881
"Central Michigan",-0.8063
"South Florida",-0.8246
"Troy",-0.8428
"Middle Tennessee",-0.8428
"Hawai'i",-0.8611
"Old Dominion",-0.934
"UNLV",-1.007
"Kent State",-1.0253
"Georgia Southern",-1.0435
"Duke",-1.0617
"Ohio",-1.2442
"North Texas",-1.2624
"Charlotte",-1.2807
"Louisiana Monroe",-1.2807
"Bowling Green",-1.2989
"Texas State",-1.2989
"Vanderbilt",-1.3536
"Arkansas State",-1.3719
"New Mexico",-1.3901
"Rice",-1.682
"New Mexico State",-1.8279
"Florida International",-1.8644
"Temple",-1.9192
"Kansas",-1.9739
"Southern Mississippi",-2.0651
"Akron",-2.2475
"Connecticut",-2.4664
"UMass",-2.5394
