"team","fei"
"Georgia",2.6576
"Alabama",2.469
"Ohio State",2.2426
"Michigan",1.9596
"Cincinnati",1.4502
"Iowa State",1.4502
"Florida",1.4125
"Texas",1.2616
"Ole Miss",1.2238
"Iowa",1.205
"Notre Dame",1.1672
"Wake Forest",1.1672
"Texas A&M",1.1484
"Oklahoma State",1.1484
"Penn State",1.1106
"Pittsburgh",1.0729
"Auburn",1.054
"Oklahoma",1.054
"Wisconsin",1.054
"Baylor",1.0352
"Oregon",0.9408
"Kentucky",0.9408
"Arizona State",0.9408
"Coastal Carolina",0.922
"Clemson",0.8654
"Michigan State",0.8465
"Nebraska",0.8088
"Air Force",0.8088
"UCLA",0.7899
"Utah",0.771
"Tennessee",0.771
"Kansas State",0.7522
"Arkansas",0.7522
"Boise State",0.6956
"Purdue",0.6578
"Minnesota",0.6578
"LSU",0.6012
"Virginia",0.6012
"NC State",0.5635
"Washington",0.5635
"BYU",0.5258
"Florida State",0.5258
"Appalachian State",0.488
"North Carolina",0.488
"Louisville",0.488
"Oregon State",0.488
"Houston",0.4503
"Mississippi State",0.4503
"Army",0.4126
"Virginia Tech",0.4126
"UT San Antonio",0.3749
"SMU",0.356
"TCU",0.3183
"San Diego State",0.3183
"Syracuse",0.2994
"Miami",0.2805
"UCF",0.2617
"Louisiana",0.2617
"Texas Tech",0.2428
"Stanford",0.2428
"USC",0.2239
"Liberty",0.1485
"Fresno State",0.1296
"Nevada",0.1107
"West Virginia",0.1107
"Marshall",0.0919
"Washington State",0.0541
"California",0.0541
"Florida Atlantic",0.0164
"Colorado State",-0.0025
"Toledo",-0.0213
"Illinois",-0.0213
"Western Michigan",-0.0591
"Indiana",-0.1534
"Georgia Tech",-0.1534
"Western Kentucky",-0.1534
"Rutgers",-0.1534
"Ball State",-0.21
"East Carolina",-0.21
"UAB",-0.2289
"Memphis",-0.2477
"Eastern Michigan",-0.2477
"Tulsa",-0.2477
"Utah State",-0.2666
"Boston College",-0.2855
"Northwestern",-0.3232
"Miami (OH)",-0.3421
"Colorado",-0.4552
"Wyoming",-0.4741
"Maryland",-0.5118
"Missouri",-0.5118
"South Carolina",-0.5307
"Buffalo",-0.5496
"Navy",-0.5684
"Louisiana Tech",-0.6062
"Georgia State",-0.625
"Northern Illinois",-0.6816
"South Alabama",-0.7571
"Tulane",-0.7948
"Hawai'i",-0.8137
"South Florida",-0.8137
"UTEP",-0.8514
"Central Michigan",-0.8703
"Duke",-0.8703
"Middle Tennessee",-0.8892
"San Jose State",-0.8892
"Troy",-0.9835
"Arizona",-0.9835
"Georgia Southern",-0.9835
"Kent State",-1.0967
"UNLV",-1.0967
"Charlotte",-1.1156
"Arkansas State",-1.1156
"Texas State",-1.191
"Louisiana Monroe",-1.2288
"Old Dominion",-1.2665
"New Mexico",-1.3419
"Ohio",-1.3608
"Vanderbilt",-1.4174
"Temple",-1.4551
"North Texas",-1.4551
"Rice",-1.6061
"Bowling Green",-1.6061
"Florida International",-1.6061
"Kansas",-1.7004
"Southern Mississippi",-1.8136
"New Mexico State",-1.8325
"Akron",-2.3984
"UMass",-2.5682
"Connecticut",-2.606
