"team","fei"
"Alabama",2.7909
"Georgia",2.7116
"Michigan",2.1168
"Ohio State",1.8392
"Texas",1.6013
"Iowa",1.5418
"Penn State",1.5022
"Florida",1.4824
"Iowa State",1.3634
"Cincinnati",1.3436
"Clemson",1.3238
"Oklahoma",1.1453
"Notre Dame",1.0858
"Ole Miss",1.0462
"Auburn",1.0462
"Arizona State",1.0065
"Oregon",0.9669
"Oklahoma State",0.9471
"Coastal Carolina",0.9272
"Air Force",0.9272
"LSU",0.9074
"Wake Forest",0.8876
"Wisconsin",0.8876
"BYU",0.8678
"Washington",0.8678
"Kansas State",0.8479
"Michigan State",0.7885
"Arkansas",0.7686
"Pittsburgh",0.7488
"UCLA",0.729
"Appalachian State",0.7092
"Kentucky",0.7092
"Nebraska",0.6893
"Texas A&M",0.6893
"North Carolina",0.6695
"Virginia Tech",0.6299
"Baylor",0.5902
"Utah",0.5902
"Boise State",0.5902
"Tennessee",0.5505
"USC",0.5307
"Houston",0.5109
"TCU",0.4911
"Stanford",0.4911
"NC State",0.4712
"Oregon State",0.4712
"Army",0.4514
"Mississippi State",0.4316
"UCF",0.4118
"Purdue",0.4118
"SMU",0.3523
"Minnesota",0.3523
"Texas Tech",0.3325
"Western Michigan",0.3126
"Louisiana",0.2928
"West Virginia",0.2928
"San Diego State",0.273
"Louisville",0.273
"Liberty",0.2333
"Miami",0.2333
"Virginia",0.154
"Florida Atlantic",0.154
"Boston College",0.1342
"Indiana",0.1144
"Marshall",0.0747
"Wyoming",0.0351
"Fresno State",-0.0244
"Toledo",-0.0442
"Florida State",-0.0641
"Rutgers",-0.0839
"South Carolina",-0.1037
"Georgia Tech",-0.1235
"Maryland",-0.1235
"Nevada",-0.1434
"Memphis",-0.1632
"Syracuse",-0.1632
"Washington State",-0.2028
"Colorado State",-0.2028
"California",-0.2227
"Buffalo",-0.2425
"Louisiana Tech",-0.2425
"East Carolina",-0.2425
"Tulsa",-0.302
"Western Kentucky",-0.3218
"Utah State",-0.3416
"Ball State",-0.3614
"UT San Antonio",-0.3614
"Eastern Michigan",-0.3813
"Illinois",-0.3813
"Northwestern",-0.4011
"Miami (OH)",-0.4011
"UAB",-0.4209
"Missouri",-0.4804
"Navy",-0.52
"Duke",-0.5597
"Georgia Southern",-0.5795
"Colorado",-0.5795
"Tulane",-0.6192
"South Alabama",-0.6787
"Northern Illinois",-0.6787
"San Jose State",-0.758
"Hawai'i",-0.7778
"Arizona",-0.7976
"Troy",-0.8373
"Central Michigan",-0.8967
"Middle Tennessee",-0.9562
"Kent State",-0.976
"Georgia State",-0.9959
"Temple",-1.0752
"Arkansas State",-1.095
"Charlotte",-1.095
"South Florida",-1.1347
"Vanderbilt",-1.1743
"Ohio",-1.2734
"Texas State",-1.3527
"UNLV",-1.3527
"North Texas",-1.3924
"Southern Mississippi",-1.3924
"Old Dominion",-1.4122
"Bowling Green",-1.432
"UTEP",-1.4519
"Louisiana Monroe",-1.4519
"Rice",-1.4915
"Florida International",-1.5113
"New Mexico",-1.6303
"Kansas",-1.6501
"New Mexico State",-1.9475
"Connecticut",-2.2846
"Akron",-2.6414
"UMass",-2.7207
