"team","fei"
"Georgia",2.747
"Alabama",2.3985
"Ohio State",2.1601
"Michigan",1.7933
"Cincinnati",1.3898
"Wake Forest",1.2981
"Florida",1.2431
"Oklahoma State",1.2247
"Wisconsin",1.1697
"Notre Dame",1.1697
"Iowa State",1.1697
"Oklahoma",1.1697
"Auburn",1.1514
"Texas",1.1514
"Penn State",1.1147
"Ole Miss",1.1147
"Texas A&M",1.1147
"Baylor",1.078
"Oregon",1.023
"Michigan State",1.023
"Iowa",0.9863
"Pittsburgh",0.9313
"Kansas State",0.9129
"Utah",0.9129
"Minnesota",0.8396
"Clemson",0.8212
"Boise State",0.8029
"Air Force",0.8029
"Nebraska",0.7662
"Kentucky",0.7662
"Purdue",0.7479
"Tennessee",0.7295
"Arkansas",0.7295
"NC State",0.7295
"BYU",0.6928
"Coastal Carolina",0.6745
"Arizona State",0.6378
"UCLA",0.6195
"Mississippi State",0.6195
"Appalachian State",0.5828
"LSU",0.5461
"Florida State",0.5461
"Washington",0.5278
"Houston",0.4911
"Army",0.4544
"Louisiana",0.4544
"Virginia",0.4361
"Virginia Tech",0.4361
"UCF",0.4177
"North Carolina",0.4177
"Syracuse",0.4177
"Miami",0.3994
"Louisville",0.3811
"Oregon State",0.3811
"UT San Antonio",0.3811
"Washington State",0.3627
"West Virginia",0.3077
"SMU",0.3077
"Nevada",0.3077
"Marshall",0.2894
"California",0.2527
"Liberty",0.2527
"Fresno State",0.2527
"San Diego State",0.2343
"Stanford",0.216
"TCU",0.1793
"USC",0.161
"Colorado State",0.0326
"Western Kentucky",0.0142
"Texas Tech",-0.0041
"Toledo",-0.0224
"East Carolina",-0.0591
"Illinois",-0.0591
"Utah State",-0.0775
"Rutgers",-0.0958
"Western Michigan",-0.1141
"Florida Atlantic",-0.1325
"Ball State",-0.2242
"Eastern Michigan",-0.2242
"UAB",-0.2242
"Georgia Tech",-0.2242
"Indiana",-0.2425
"Memphis",-0.2609
"Miami (OH)",-0.3159
"Tulsa",-0.3342
"Boston College",-0.3892
"Maryland",-0.4259
"Navy",-0.4809
"South Carolina",-0.4993
"Colorado",-0.536
"Northwestern",-0.5543
"Wyoming",-0.5726
"Missouri",-0.591
"Louisiana Tech",-0.6093
"South Alabama",-0.6093
"Georgia State",-0.6277
"UTEP",-0.6643
"Northern Illinois",-0.6827
"Tulane",-0.7377
"Middle Tennessee",-0.7377
"Buffalo",-0.8111
"San Jose State",-0.8477
"Hawai'i",-0.8661
"South Florida",-0.8844
"Troy",-0.8844
"Central Michigan",-0.9028
"Arizona",-0.9211
"Georgia Southern",-1.0128
"Old Dominion",-1.0678
"Kent State",-1.0862
"Duke",-1.1229
"UNLV",-1.1595
"Louisiana Monroe",-1.2329
"Arkansas State",-1.2512
"New Mexico",-1.2879
"Bowling Green",-1.3063
"Charlotte",-1.3246
"Vanderbilt",-1.3429
"Ohio",-1.3613
"Texas State",-1.3613
"North Texas",-1.398
"Rice",-1.6364
"Temple",-1.6914
"New Mexico State",-1.7648
"Florida International",-1.8014
"Southern Mississippi",-1.8565
"Kansas",-1.9482
"Akron",-2.3517
"Connecticut",-2.4984
"UMass",-2.5534
